,ticker,2023,2024,2025
Revenue(In $M),TSN,"55,188","56,549","57,426"
Dividend,TSN,1.91,2.05,2.48
Dividend Yield (in %),TSN,3.33 %,3.56 %,4.33 %
EPS,TSN,4.42,5.61,6.36
P/E Ratio,TSN,13.58,10.70,9.43
EBIT(In $M),TSN,"2,277","2,814","3,271"
EBITDA(In $M),TSN,"3,591","4,185","4,845"
Net Profit(In $M),TSN,"1,507","1,927","2,336"
Net Profit Adjusted(In $M),TSN,"1,511","1,906","2,204"
Pre-Tax Profit(In $M),TSN,"2,023","2,548","3,087"
Net Profit (Adjusted)(In $M),TSN,"1,988","2,573","3,645"
EPS (Non-GAAP) ex. SOE(In $),TSN,4.42,5.61,6.36
EPS (GAAP)(In $),TSN,4.35,5.59,7.09
Gross Income(In $M),TSN,"5,096","5,667","6,356"
Cash Flow from Investing(In $M),TSN,"-2,537","-2,241","-2,037"
Cash Flow from Operations(In $M),TSN,"2,862","3,037","3,883"
Cash Flow from Financing(In $M),TSN,-653,-794,-992
Cash Flow per Share(In $),TSN,6.70,8.37,-
Free Cash Flow(In $M),TSN,269,877,"2,012"
Free Cash Flow per Share(In $),TSN,0.37,2.52,4.11
Book Value per Share(In $),TSN,56.98,59.70,-
Net Debt(In $M),TSN,"8,252","8,558","8,251"
Research & Development Exp.(In $M),TSN,-,-,-
Capital Expenditure(In $M),TSN,"2,486","2,056","1,871"
"Selling, General & Admin. Exp.(In $M)",TSN,"2,485","2,615","2,643"
Shareholder’s Equity(In $M),TSN,"20,283","21,055","23,139"
Total Assets(In $M),TSN,"37,831","38,962","41,444"
