,ticker,sentiment
2023-04-05 10:27:00,TSN,-0.2584
2023-04-05 18:13:00,TSN,0.0258
2023-04-06 05:32:00,TSN,0.3818
2023-04-08 02:30:00,TSN,0.4404
2023-04-08 05:10:00,TSN,0.4404
2023-04-10 10:10:39,TSN,-0.128
2023-04-10 11:54:00,TSN,0.0772
2023-04-10 13:43:18,TSN,-0.128
2023-04-10 16:08:30,TSN,0.7096
2023-04-10 21:28:00,TSN,0.5106
2023-04-10 22:17:00,TSN,0.0772
2023-04-12 02:27:00,TSN,-0.7579
2023-04-12 06:48:00,TSN,0.4215
2023-04-14 04:10:00,TSN,0.128
2023-04-14 04:41:00,TSN,0.2023
2023-04-14 08:44:03,TSN,0.1531
2023-04-15 02:00:00,TSN,0.5267
2023-04-16 06:00:44,TSN,-0.2732
2023-04-21 10:27:00,TSN,-0.2584
2023-04-23 01:32:29,TSN,0.4404
2023-04-23 07:00:00,TSN,-0.3182
2023-04-24 14:39:05,TSN,-0.34
2023-04-24 15:15:10,TSN,0.34
2023-04-25 04:58:00,TSN,0.0772
2023-04-25 19:21:00,TSN,-0.2732
2023-04-26 09:03:00,TSN,-0.2732
2023-04-26 13:18:00,TSN,-0.2732
2023-04-27 04:04:00,TSN,-0.296
2023-04-27 04:59:00,TSN,-0.296
2023-04-27 05:00:17,TSN,0.9109
2023-04-28 09:13:41,TSN,-0.34
2023-04-28 10:27:00,TSN,0.5106
2023-04-30 18:23:00,TSN,0.6369
2023-05-01 12:08:48,TSN,0.0258
2023-05-01 23:00:00,TSN,0.3612
2023-05-02 06:40:01,TSN,0.34
2023-05-03 08:30:00,TSN,0.7506
2023-05-04 03:19:06,TSN,0.4404
