,2018,2017,2016,2015,2014,ticker
Current ratio,2.213,1.091,2.433,2.603,2.329,TSS
Quick ratio,2.138,1.038,2.305,2.388,2.269,TSS
Cash ratio,0.914,0.455,1.012,1.148,0.975,TSS
Days of sales outstanding,40.804,30.539,37.886,41.326,42.245,TSS
Days of inventory outstanding,0,0,0,0,0,TSS
Operating cycle,40.804,30.539,37.886,41.326,42.245,TSS
Days of payables outstanding,14.345,6.358,4.721,10.273,10.671,TSS
Cash conversion cycle,26.459,24.182,33.166,31.053,31.574,TSS
Gross profit margin,0.381,0.274,0.282,0.333,0.318,TSS
Operating profit margin,0.215,0.132,0.115,0.185,0.185,TSS
Pretax profit margin,0.164,0.125,0.111,0.179,0.161,TSS
Net profit margin,0.132,0.112,0.072,0.124,0.108,TSS
Effective tax rate,0.192,0.107,0.349,0.305,0.330,TSS
Return on assets,0.071,0.087,0.047,0.088,0.070,TSS
Return on equity,0.206,0.246,0.143,0.187,0.155,TSS
Return on capital employed,0.125,0.122,0.081,0.144,0.132,TSS
Net income per EBT,0.808,0.893,0.651,0.695,0.670,TSS
Ebt per ebit,0.761,0.947,0.959,0.964,0.868,TSS
Ebit per revenue,0.215,0.132,0.115,0.185,0.185,TSS
Debt ratio,0.654,0.646,0.670,0.528,0.547,TSS
Debt equity ratio,1.888,1.825,2.032,1.121,1.206,TSS
Long term debt to capitalization,0.598,0.536,0.612,0.428,0.452,TSS
Total debt to capitalization,0.599,0.584,0.615,0.437,0.460,TSS
Interest coverage,5.306,18.900,24.533,27.830,7.581,TSS
Cash flow to debt ratio,0.270,0.272,0.214,0.420,0.389,TSS
Company equity multiplier,2.888,2.825,3.032,2.121,2.206,TSS
Receivables turnover,8.945,11.952,9.634,8.832,8.640,TSS
Payables turnover,25.445,57.412,77.316,35.531,34.204,TSS
Inventory turnover,0,0,0,0,0,TSS
Fixed asset turnover,10.515,15.153,14.769,9.588,8.421,TSS
Asset turnover,0.539,0.778,0.655,0.711,0.655,TSS
Operating cash flow per share,5.725,4.672,3.928,3.289,3.040,TSS
Free cash flow per share,5.102,4.290,3.649,2.990,2.628,TSS
Cash per share,3.582,3.349,2.934,2.715,2.114,TSS
Payout ratio,0.177,0.143,0.245,0.213,0.284,TSS
Operating cash flow sales ratio,0.259,0.174,0.172,0.216,0.229,TSS
Free cash flow operating cash flow ratio,0.891,0.918,0.929,0.909,0.864,TSS
Cash flow coverage ratios,0.270,0.272,0.214,0.420,0.389,TSS
Short term coverage ratios,50.063,1.532,14.944,11.917,12.795,TSS
Capital expenditure coverage ratio,-9.197,-12.229,-14.040,-10.985,-7.380,TSS
Dividend paid and capex coverage ratio,-55.677,95.399,32.271,31.528,-501.523,TSS
Dividend payout ratio,0.177,0.143,0.245,0.213,0.284,TSS
Price book value ratio,5.720,6.469,4.267,4.930,3.697,TSS
Price to book ratio,5.720,6.469,4.267,4.930,3.697,TSS
Price to sales ratio,3.672,2.942,2.149,3.269,2.558,TSS
Price earnings ratio,27.763,26.279,29.863,26.298,23.782,TSS
Price to free cash flows ratio,15.932,18.435,13.438,16.656,12.924,TSS
Price to operating cash flows ratio,14.200,16.927,12.481,15.140,11.172,TSS
Price cash flow ratio,14.200,16.927,12.481,15.140,11.172,TSS
Price earnings to growth ratio,-10.446,0.315,-2.258,0.818,2.378,TSS
Price sales ratio,3.672,2.942,2.149,3.269,2.558,TSS
Dividend yield,0.006,0.005,0.008,0.008,0.012,TSS
Enterprise value multiple,14.188,16.176,13.693,13.053,10.545,TSS
Price fair value,5.720,6.469,4.267,4.930,3.697,TSS
