,2017,2016,2015,2014,2013,ticker
Current ratio,1.081,1.390,1.564,1.432,1.532,TWX
Quick ratio,0.854,1.055,1.195,1.123,1.161,TWX
Cash ratio,0.186,0.159,0.269,0.284,0.222,TWX
Days of sales outstanding,109.730,108.300,96.202,102.994,96.386,TWX
Days of inventory outstanding,49.661,45.959,39.609,39.087,45.608,TWX
Operating cycle,159.391,154.259,135.811,142.080,141.994,TWX
Days of payables outstanding,16.071,11.746,14.755,13.197,15.585,TWX
Cash conversion cycle,143.320,142.513,121.057,128.883,126.409,TWX
Gross profit margin,0.436,0.441,0.425,0.420,0.455,TWX
Operating profit margin,0.253,0.257,0.244,0.218,0.222,TWX
Pretax profit margin,0.190,0.177,0.194,0.171,0.178,TWX
Net profit margin,0.168,0.134,0.136,0.140,0.124,TWX
Effective tax rate,0.118,0.247,0.303,0.168,0.330,TWX
Return on assets,0.076,0.060,0.060,0.060,0.054,TWX
Return on equity,0.185,0.161,0.162,0.156,0.123,TWX
Return on capital employed,0.144,0.134,0.123,0.111,0.111,TWX
Net income per EBT,0.883,0.756,0.704,0.818,0.696,TWX
Ebt per ebit,0.751,0.688,0.793,0.783,0.803,TWX
Ebit per revenue,0.253,0.257,0.244,0.218,0.222,TWX
Debt ratio,0.590,0.631,0.630,0.613,0.560,TWX
Debt equity ratio,0.837,1.000,1.007,0.919,0.674,TWX
Long term debt to capitalization,0.392,0.479,0.500,0.466,0.402,TWX
Total debt to capitalization,0.456,0.500,0.502,0.479,0.403,TWX
Interest coverage,6.524,5.437,4.967,4.416,5.148,TWX
Cash flow to debt ratio,0.214,0.192,0.162,0.163,0.184,TWX
Company equity multiplier,2.439,2.711,2.703,2.585,2.274,TWX
Receivables turnover,3.326,3.370,3.794,3.544,3.787,TWX
Payables turnover,22.712,31.074,24.738,27.657,23.420,TWX
Inventory turnover,7.350,7.942,9.215,9.338,8.003,TWX
Fixed asset turnover,11.552,11.680,10.831,10.305,7.790,TWX
Asset turnover,0.452,0.444,0.440,0.432,0.438,TWX
Operating cash flow per share,6.540,5.976,4.716,4.245,4.037,TWX
Free cash flow per share,5.695,5.423,4.197,3.696,3.383,TWX
Cash per share,3.375,1.971,2.644,3.033,2.024,TWX
Payout ratio,0.241,0.323,0.300,0.290,0.291,TWX
Operating cash flow sales ratio,0.162,0.159,0.137,0.134,0.125,TWX
Free cash flow operating cash flow ratio,0.871,0.907,0.890,0.871,0.838,TWX
Cash flow coverage ratios,0.214,0.192,0.162,0.163,0.184,TWX
Short term coverage ratios,0.932,2.397,19.409,3.278,56.273,TWX
Capital expenditure coverage ratio,-7.742,-10.801,-9.085,-7.732,-6.169,TWX
Dividend paid and capex coverage ratio,8.340,5.575,5.286,5.772,7.869,TWX
Dividend payout ratio,0.241,0.323,0.300,0.290,0.291,TWX
Price book value ratio,2.515,3.097,2.231,3.013,2.145,TWX
Price to book ratio,2.515,3.097,2.231,3.013,2.145,TWX
Price to sales ratio,2.283,2.571,1.874,2.695,2.153,TWX
Price earnings ratio,13.603,19.198,13.749,19.269,17.378,TWX
Price to free cash flows ratio,16.138,17.801,15.409,23.110,20.611,TWX
Price to operating cash flows ratio,14.053,16.153,13.713,20.121,17.270,TWX
Price cash flow ratio,14.053,16.153,13.713,20.121,17.270,TWX
Price earnings to growth ratio,0.396,2.814,2.251,1.788,0.642,TWX
Price sales ratio,2.283,2.571,1.874,2.695,2.153,TWX
Dividend yield,0.018,0.017,0.022,0.015,0.017,TWX
Enterprise value multiple,5.172,5.936,4.726,6.287,5.527,TWX
Price fair value,2.515,3.097,2.231,3.013,2.145,TWX
