,ticker,sentiment
2023-04-05 04:02:00,TXN,0.4019
2023-04-05 10:27:00,TXN,0.3089
2023-04-06 03:10:00,TXN,0.3818
2023-04-06 04:15:01,TXN,0.6369
2023-04-06 04:32:00,TXN,0.3182
2023-04-06 04:57:00,TXN,0.6486
2023-04-06 05:32:00,TXN,0.3818
2023-04-06 07:00:00,TXN,0.5267
2023-04-06 10:27:00,TXN,-0.2584
2023-04-06 17:56:14,TXN,0.6486
2023-04-06 22:00:00,TXN,0.1779
2023-04-10 04:00:12,TXN,0.5719
2023-04-10 10:27:00,TXN,-0.2584
2023-04-10 11:41:02,TXN,0.7783
2023-04-11 15:30:10,TXN,0.2023
2023-04-17 00:00:01,TXN,-0.25
2023-04-17 04:17:22,TXN,0.3818
2023-04-17 10:12:59,TXN,0.5106
2023-04-18 06:00:00,TXN,0.4005
2023-04-18 06:49:03,TXN,0.4404
2023-04-18 10:27:00,TXN,0.5106
2023-04-18 15:00:10,TXN,0.34
2023-04-19 05:35:32,TXN,0.3818
2023-04-19 06:00:15,TXN,0.7351
2023-04-19 22:59:00,TXN,0.6369
2023-04-20 05:01:00,TXN,-0.5267
2023-04-21 05:32:00,TXN,0.1779
2023-04-21 09:11:22,TXN,0.6369
2023-04-21 10:28:00,TXN,0.5106
2023-04-21 23:29:00,TXN,0.6369
2023-04-22 12:24:30,TXN,0.25
2023-04-23 08:03:00,TXN,0.1779
2023-04-23 21:55:00,TXN,-0.2263
2023-04-24 01:00:00,TXN,-0.4215
2023-04-24 03:00:00,TXN,0.1027
2023-04-24 06:00:39,TXN,-0.5023
2023-04-24 08:40:03,TXN,0.6486
2023-04-24 20:04:00,TXN,-0.4215
2023-04-24 20:41:00,TXN,-0.3182
2023-04-24 20:44:00,TXN,-0.4939
2023-04-24 20:54:00,TXN,-0.4404
2023-04-24 23:21:00,TXN,0.3612
2023-04-25 01:00:00,TXN,0.6369
2023-04-25 01:35:00,TXN,0.296
2023-04-25 02:10:00,TXN,-0.4019
2023-04-25 03:58:00,TXN,0.1027
2023-04-25 05:47:00,TXN,-0.296
2023-04-25 06:09:33,TXN,0.2382
2023-04-25 09:42:00,TXN,-0.4404
2023-04-25 10:03:45,TXN,0.2892
2023-04-25 10:19:11,TXN,0.2732
2023-04-25 10:32:00,TXN,0.1779
2023-04-25 10:50:33,TXN,0.7783
2023-04-25 11:22:17,TXN,0.5574
2023-04-25 11:44:00,TXN,0.34
2023-04-25 13:09:15,TXN,-0.3818
2023-04-25 13:52:30,TXN,-0.1655
2023-04-25 19:46:00,TXN,0.296
2023-04-25 23:11:00,TXN,0.2732
2023-04-25 23:26:00,TXN,-0.128
2023-04-25 23:56:00,TXN,0.296
2023-04-26 00:36:00,TXN,0.2023
2023-04-26 01:02:00,TXN,-0.128
2023-04-26 05:47:00,TXN,-0.3804
2023-04-26 16:23:51,TXN,-0.3612
2023-04-26 17:30:00,TXN,-0.1027
2023-04-26 23:53:00,TXN,-0.5267
2023-04-27 04:37:00,TXN,-0.2263
2023-04-28 05:00:36,TXN,-0.7717
2023-04-28 10:28:00,TXN,-0.2584
2023-04-29 03:13:00,TXN,0.5719
2023-04-29 23:08:02,TXN,0.7096
2023-05-01 04:26:18,TXN,0.2023
2023-05-01 21:36:00,TXN,0.6369
2023-05-02 02:50:00,TXN,0.5106
2023-05-02 03:14:00,TXN,0.2732
2023-05-02 03:22:36,TXN,0.7096
2023-05-02 04:57:15,TXN,0.3384
2023-05-02 23:25:00,TXN,-0.2003
2023-05-04 04:58:00,TXN,-0.4404
2023-05-04 11:00:00,TXN,-0.4939
