,ticker,2023,2024,2025,2026,2027
Revenue(In $M),TXT,"13,917","14,710","15,326","15,573","16,317"
Dividend,TXT,0.09,0.09,0.09,-,-
Dividend Yield (in %),TXT,0.13 %,0.13 %,0.13 %,-,-
EPS,TXT,5.16,5.77,6.42,7.09,8.15
P/E Ratio,TXT,12.67,11.32,10.19,9.23,8.02
EBIT(In $M),TXT,"1,255","1,370","1,454","1,438","1,661"
EBITDA(In $M),TXT,"1,611","1,757","1,869",-,-
Net Profit(In $M),TXT,984,"1,074","1,163","1,186","1,242"
Net Profit Adjusted(In $M),TXT,990,"1,079","1,161","1,186","1,242"
Pre-Tax Profit(In $M),TXT,"1,159","1,283","1,390","1,437","1,503"
Net Profit (Adjusted)(In $M),TXT,"1,124","1,199","1,277",-,-
EPS (Non-GAAP) ex. SOE(In $),TXT,5.16,5.77,6.42,7.09,8.15
EPS (GAAP)(In $),TXT,4.50,5.11,5.60,6.36,7.35
Gross Income(In $M),TXT,"2,215","2,384","2,512",-,-
Cash Flow from Investing(In $M),TXT,-405,-424,-438,-468,-489
Cash Flow from Operations(In $M),TXT,"1,347","1,429","1,486","1,520","1,618"
Cash Flow from Financing(In $M),TXT,-857,-770,-726,"-1,087","-1,011"
Cash Flow per Share(In $),TXT,6.01,6.49,7.89,-,-
Free Cash Flow(In $M),TXT,954,"1,024","1,098","1,053","1,128"
Free Cash Flow per Share(In $),TXT,4.67,5.53,6.22,-,-
Book Value per Share(In $),TXT,35.56,38.23,41.46,-,-
Net Debt(In $M),TXT,"1,650","1,634","1,405",-,-
Research & Development Exp.(In $M),TXT,591,601,616,-,-
Capital Expenditure(In $M),TXT,423,423,440,468,489
"Selling, General & Admin. Exp.(In $M)",TXT,"1,294","1,304","1,324",-,-
Shareholder’s Equity(In $M),TXT,"7,524","7,911","8,540","9,756","9,030"
Total Assets(In $M),TXT,"16,732","17,212","17,752","18,562","18,357"
