,headline,final_score,datetime
0,Is United Parcel Service (UPS) Trading at a Discount?,86,2023-05-05 03:12:46
2,"United Parcel Service, Inc. - Class B (UPS) Declares $1.62 Dividend",86,2023-05-04 15:58:24
4,Interesting UPS Put And Call Options For June 23rd,60,2023-05-04 03:17:00
5,"Elliott Wave Technical Analysis: United Parcel Service Inc. - Thursday, May 4",90,2023-05-03 22:01:00
6,"Unusual Put Option Trade in United Parcel Service, Inc. - Class B (UPS)  Worth $5,334.00K",86,2023-05-03 19:36:28
7,UPS Announces Quarterly Dividend,60,2023-05-03 14:13:00
8,"United Parcel Service, Inc. (NYSE:UPS) insiders sold US$16m worth of stock, possibly signalling a downtrend",86,2023-05-03 04:00:32
9,"Stephanie Link’s top stock picks: PG, TJX, UPS",60,2023-05-03 00:07:10
10,UPS declares $1.62 dividend,60,2023-05-02 21:40:00
11,"United Parcel Service Inc. Cl B stock falls Wednesday, underperforms market",90,2023-05-02 21:31:00
12,"United Parcel Service, Inc. (NYSE:UPS) Q1 2023 Earnings Call Transcript",86,2023-05-02 05:34:46
15,"United Parcel Service Inc. Cl B stock falls Tuesday, underperforms market",90,2023-05-01 21:31:00
17,"United Parcel Service, Inc. (UPS) is Attracting Investor Attention: Here is What You Should Know",86,2023-05-01 06:00:01
20,"United Parcel Service Inc. Cl B stock rises Monday, outperforms market",90,2023-04-30 21:30:00
24,"Calculating The Fair Value Of United Parcel Service, Inc. (NYSE:UPS)",86,2023-04-29 04:00:19
26,"United Parcel Service Inc. Cl B stock rises Friday, outperforms market",90,2023-04-28 10:29:00
28,Is UPS an Excellent Dividend Stock to Buy on the Dip?,60,2023-04-28 03:15:00
29,"Elliott Wave Technical Analysis: United Parcel Service Inc. - Friday, April 28",90,2023-04-28 02:25:00
31,"Analysts Offer Insights on Industrial Goods Companies: Pentair (PNR), United Parcel (UPS) and American Airlines (AAL)",86,2023-04-27 23:02:00
33,"United Parcel Service Inc. Cl B stock rises Thursday, outperforms market",90,2023-04-27 10:31:00
38,"Wolfe Research Upgrades United Parcel Service, Inc. - Class B (UPS)",86,2023-04-26 17:59:03
39,"Wells Fargo Maintains United Parcel Service, Inc. - Class B (UPS) Overweight Recommendation",86,2023-04-26 17:59:01
40,"BMO Capital Maintains United Parcel Service, Inc. - Class B (UPS) Market Perform Recommendation",86,2023-04-26 17:58:59
41,"Raymond James Maintains United Parcel Service, Inc. - Class B (UPS) Strong Buy Recommendation",86,2023-04-26 17:58:58
42,"Susquehanna Maintains United Parcel Service, Inc. - Class B (UPS) Neutral Recommendation",86,2023-04-26 17:58:56
43,"Oppenheimer Maintains United Parcel Service, Inc. - Class B (UPS) Outperform Recommendation",86,2023-04-26 17:58:56
44,UPS CFO Looks to Speed Up Some Cost Cuts as Shipping Volumes Fall,60,2023-04-26 15:11:00
49,"Stop Selling UPS Stock, Says Analyst. Investors Aren’t Listening.",60,2023-04-26 02:45:00
50,UPS Sees a Flurry of Analyst Revisions after Post Earnings Tumble,60,2023-04-26 00:52:00
51,UPS stock suffers biggest selloff in 17 years as volumes were ���significantly lower` than expected in March,60,2023-04-26 00:50:00
52,UPS price target lowered to $180 from $185 at BMO Capital,60,2023-04-26 00:38:00
53,United Parcel Service: Weak Results But A Buy For The Long Term,86,2023-04-26 00:30:00
54,UPS price target lowered to $205 from $207 at Raymond James,60,2023-04-26 00:10:00
55,UPS price target lowered to $205 from $221 at Wells Fargo,60,2023-04-25 23:46:00
56,UPS price target raised to $198 from $196 at UBS,60,2023-04-25 23:36:00
57,UPS upgraded at Wolfe Research after post-earnings plunge,60,2023-04-25 23:35:00
58,UPS price target lowered to $173 from $180 at Susquehanna,60,2023-04-25 23:27:00
59,"UPS weakness a buying opportunity, says Baird",60,2023-04-25 23:17:00
60,Analysts Have Conflicting Sentiments on These Industrial Goods Companies: Brunswick (BC) and United Parcel (UPS),86,2023-04-25 23:11:00
61,"Analysts Have Conflicting Sentiments on These Industrial Goods Companies: General Electric (GE), JetBlue Airways (JBLU) and United Parcel (UPS)",86,2023-04-25 23:01:00
62,"Analysts Offer Insights on Industrial Goods Companies: General Electric (GE), Halliburton (HAL) and United Parcel (UPS)",86,2023-04-25 22:21:00
63,UPS price target lowered to $188 from $199 at Oppenheimer,60,2023-04-25 22:14:00
64,"CNBC exclusive: UPS CEO Carol Tomé talks Q1 results, labor negotiations and AI",60,2023-04-25 22:00:01
65,"Analysts` Opinions Are Mixed on These Industrial Goods Stocks: General Electric (GE), United Parcel (UPS) and Nextier Oilfield Solutions (NEX)",86,2023-04-25 21:03:00
66,UPS upgraded to Peer Perform after selloff at Wolfe Research,60,2023-04-25 20:49:00
68,Q1 2023 United Parcel Service Inc Earnings Call,90,2023-04-25 20:02:52
69,United Parcel Service Becomes Oversold,86,2023-04-25 19:59:00
72,"Today's top stories: Microsoft and Alphabet earnings, UPS, President Biden's reelection bid",60,2023-04-25 14:07:19
73,UPS stock sinks on downbeat guidance and shipping volumes,60,2023-04-25 14:06:11
88,UPS Earnings Had an Ominous Warning for Amazon and Other E-Commerce Companies,60,2023-04-25 08:44:00
