,ttm,2022-12-31,2021-12-31,2020-12-31,2019-12-31,ticker
Net income(figures in $M),5825.0,5825.0,7963.0,4959.0,6914.0,USB
Depreciation & amortisation(figures in $M),560.0,560.0,497.0,527.0,502.0,USB
Other working capital(figures in $M),21119.0,21119.0,9870.0,3716.0,4889.0,USB
Other non-cash items(figures in $M),12558.0,12558.0,4116.0,-3039.0,-2800.0,USB
Net cash provided by operating activities(figures in $M),21119.0,21119.0,9870.0,3716.0,4889.0,USB
Purchases of investments(figures in $M),-31683.0,-31683.0,-100133.0,-68662.0,-40515.0,USB
Sales/maturities of investments(figures in $M),57077.0,57077.0,58367.0,56235.0,31843.0,USB
Other investing activities(figures in $M),-5392.0,-5392.0,3.0,-636.0,-1295.0,USB
Net cash used for investing activities(figures in $M),7500.0,7500.0,-57487.0,-15440.0,-21560.0,USB
Debt repayment(figures in $M),-6926.0,-6926.0,-11432.0,-14476.0,-11119.0,USB
Common stock issued(figures in $M),21.0,21.0,43.0,15.0,88.0,USB
Common stock repurchased(figures in $M),-1169.0,-1169.0,-2805.0,-1672.0,-4525.0,USB
Dividends paid(figures in $M),-3075.0,-3075.0,-2887.0,-2852.0,-2745.0,USB
Other financing activities(figures in $M),0.0,0.0,-167.0,0.0,0.0,USB
Net cash used provided by (used for) financing activities(figures in $M),-3982.0,-3982.0,13942.0,51899.0,17623.0,USB
Net change in cash(figures in $M),24637.0,24637.0,-33675.0,40175.0,952.0,USB
Cash at beginning of period(figures in $M),28905.0,28905.0,62580.0,22405.0,21453.0,USB
Cash at end of period(figures in $M),53542.0,53542.0,28905.0,62580.0,22405.0,USB
Operating cash flow(figures in $M),21119.0,21119.0,9870.0,3716.0,4889.0,USB
Free cash flow(figures in $M),21119.0,21119.0,9870.0,3716.0,4889.0,USB
