,ticker,ttm,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Total revenue(figures in $M),USB,24184.0,24184.0,22721.0,23226.0,22883.0
Interest expense(figures in $M),USB,3217.0,3217.0,993.0,2015.0,4442.0
Income before tax(figures in $M),USB,7301.0,7301.0,10166.0,6051.0,8594.0
Income tax expense(figures in $M),USB,1463.0,1463.0,2181.0,1066.0,1648.0
Income from continuing operations(figures in $M),USB,5838.0,5838.0,7985.0,4985.0,6946.0
Net income(figures in $M),USB,5825.0,5825.0,7963.0,4959.0,6914.0
Net income available to common shareholders(figures in $M),USB,5501.0,5501.0,7605.0,4621.0,6583.0
Basic EPS(figures in $M),USB,,,5.11e-06,3.06e-06,4.16e-06
Diluted EPS(figures in $M),USB,,,5.0999999999999995e-06,3.06e-06,4.16e-06
Basic average shares(figures in $M),USB,,,1489.0,1509.0,1581.0
Diluted average shares(figures in $M),USB,,,1490.0,1510.0,1583.0
