,ticker,2022-03-31,2021-03-31,2020-03-31
Cash and cash equivalents(figures in $M),VFC,1275.943,815.75,1369.028
Other short-term investments(figures in $M),VFC,0.0,598.806,0.0
Total cash(figures in $M),VFC,1275.943,1414.556,1369.028
Net receivables(figures in $M),VFC,1467.842,1298.02,1308.051
Inventory(figures in $M),VFC,1418.673,1061.839,1293.912
Other current assets(figures in $M),VFC,425.622,423.877,444.886
Total current assets(figures in $M),VFC,4588.08,4785.87,5027.016
"Gross property, plant and equipment(figures in $M)",VFC,2288.833,2450.31,2227.92
Accumulated depreciation(figures in $M),VFC,-1087.325,-1060.134,-969.995
"Net property, plant and equipment(figures in $M)",VFC,2288.833,2450.31,2227.92
Equity and other investments(figures in $M),VFC,180.183,194.649,143.92
Goodwill(figures in $M),VFC,2393.807,2425.427,1156.019
Intangible assets(figures in $M),VFC,3317.033,3294.481,2058.458
Other long-term assets(figures in $M),VFC,1071.137,1062.877,867.751
Total non-current assets(figures in $M),VFC,8754.128,8968.159,6106.235
Total assets(figures in $M),VFC,13342.208,13754.029,11133.251
Current debt(figures in $M),VFC,836.513,12.084,1229.83
Accounts payable(figures in $M),VFC,562.992,463.208,407.021
Taxes payable(figures in $M),VFC,424.135,115.459,96.46
Accrued liabilities(figures in $M),VFC,1915.892,1609.928,1260.252
Deferred revenues(figures in $M),VFC,71.067,0.0,0.0
Other current liabilities(figures in $M),VFC,24.267,125.257,126.781
Total current liabilities(figures in $M),VFC,3315.397,2210.477,3023.884
Long-term debt(figures in $M),VFC,4584.261,5709.149,2608.269
Deferred tax liabilities(figures in $M),VFC,150.401,342.712,161.371
Other long-term liabilities(figures in $M),VFC,888.436,1541.778,1123.113
Total non-current liabilities(figures in $M),VFC,6496.456,8487.388,4752.033
Total liabilities(figures in $M),VFC,9811.853,10697.865,7775.917
Common stock(figures in $M),VFC,97.075,97.985,97.203
Retained earnings(figures in $M),VFC,443.475,189.534,7.309
Accumulated other comprehensive income(figures in $M),VFC,-926.579,-1009.0,-930.958
Total stockholders' equity(figures in $M),VFC,3530.355,3056.164,3357.334
Total liabilities and stockholders' equity(figures in $M),VFC,13342.208,13754.029,11133.251
