,ticker,ttm,2022-03-31,2021-03-31,2020-03-31
Total revenue(figures in $M),VFC,11697.526,11841.84,9238.83,10488.556
Cost of revenue(figures in $M),VFC,5492.999,5386.393,4370.78,4690.52
Gross profit(figures in $M),VFC,6204.527,6455.447,4868.05,5798.036
Selling general and administrative(figures in $M),VFC,5101.637,4823.243,4240.058,4547.008
Total operating expenses(figures in $M),VFC,5101.637,4823.243,4240.058,4547.008
Operating income or loss(figures in $M),VFC,1102.89,1632.204,627.992,1251.028
Interest expense(figures in $M),VFC,153.085,136.469,135.655,72.175
Total other income/expenses net(figures in $M),VFC,-526.158,22.509,-45.02,-451.645
Income before tax(figures in $M),VFC,430.407,1523.25,456.472,727.208
Income tax expense(figures in $M),VFC,16.488,306.981,101.566,98.062
Income from continuing operations(figures in $M),VFC,413.919,1216.269,354.906,629.146
Net income(figures in $M),VFC,414.318,1386.941,407.869,777.511
Net income available to common shareholders(figures in $M),VFC,414.318,1386.941,407.869,777.511
Basic EPS(figures in $M),VFC,,3.55e-06,1.0500000000000001e-06,1.72e-06
Diluted EPS(figures in $M),VFC,,3.5299999999999997e-06,1.04e-06,1.7e-06
Basic average shares(figures in $M),VFC,,390.291,389.655,395.411
Diluted average shares(figures in $M),VFC,,392.411,392.121,399.936
EBITDA(figures in $M),VFC,,1899.139,897.073,1518.647
