,ticker,sentiment
2023-04-13 08:39:47,VFC,0.5106
2023-04-13 20:32:00,VFC,-0.296
2023-04-13 21:35:00,VFC,0.5574
2023-04-14 00:30:00,VFC,-0.34
2023-04-14 01:16:56,VFC,0.25
2023-04-14 01:20:00,VFC,0.296
2023-04-14 01:32:00,VFC,-0.4404
2023-04-14 04:05:00,VFC,-0.296
2023-04-14 22:18:41,VFC,0.5267
2023-04-15 18:40:00,VFC,0.2023
2023-04-16 14:03:54,VFC,0.2023
2023-04-19 04:21:48,VFC,0.4019
2023-04-20 00:00:19,VFC,-0.34
2023-04-23 02:30:00,VFC,0.25
2023-04-23 21:31:00,VFC,0.5106
2023-04-24 22:20:00,VFC,0.2023
2023-04-25 00:08:00,VFC,-0.3612
2023-04-25 01:59:00,VFC,0.2023
2023-04-25 02:40:00,VFC,0.4404
2023-04-25 11:30:41,VFC,-0.3612
2023-04-26 03:00:00,VFC,0.7184
2023-04-26 05:45:19,VFC,0.6369
2023-04-26 10:29:00,VFC,0.3089
2023-04-27 19:43:00,VFC,0.2023
2023-04-28 10:29:00,VFC,0.5106
2023-05-02 01:41:00,VFC,-0.128
2023-05-02 17:23:47,VFC,0.2263
2023-05-03 15:15:10,VFC,0.34
2023-05-04 21:26:00,VFC,0.25
2023-05-05 00:38:00,VFC,0.25
2023-05-05 07:21:58,VFC,0.25
