,ticker,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Cash and cash equivalents(figures in $M),VLO,4862.0,4122.0,3313.0,2583.0
Total cash(figures in $M),VLO,4862.0,4122.0,3313.0,2583.0
Net receivables(figures in $M),VLO,10761.0,9968.0,4807.0,8094.0
Inventory(figures in $M),VLO,6752.0,6265.0,6038.0,7013.0
Other current assets(figures in $M),VLO,17381.0,14900.0,9806.0,11956.0
Total current assets(figures in $M),VLO,24133.0,21165.0,15844.0,18969.0
"Gross property, plant and equipment(figures in $M)",VLO,51690.0,50356.0,48171.0,45623.0
Accumulated depreciation(figures in $M),VLO,-19598.0,-18225.0,-16578.0,-15030.0
"Net property, plant and equipment(figures in $M)",VLO,32092.0,32131.0,31593.0,30593.0
Equity and other investments(figures in $M),VLO,724.0,734.0,972.0,942.0
Goodwill(figures in $M),VLO,260.0,260.0,260.0,260.0
Intangible assets(figures in $M),VLO,202.0,218.0,248.0,283.0
Other long-term assets(figures in $M),VLO,1406.0,941.0,565.0,514.0
Total non-current assets(figures in $M),VLO,36849.0,36723.0,35930.0,34895.0
Total assets(figures in $M),VLO,60982.0,57888.0,51774.0,53864.0
Current debt(figures in $M),VLO,861.0,1110.0,723.0,494.0
Accounts payable(figures in $M),VLO,12728.0,12495.0,6082.0,10205.0
Taxes payable(figures in $M),VLO,841.0,378.0,112.0,208.0
Accrued liabilities(figures in $M),VLO,530.0,516.0,390.0,468.0
Deferred revenues(figures in $M),VLO,129.0,78.0,56.0,55.0
Total current liabilities(figures in $M),VLO,17461.0,16851.0,9283.0,13160.0
Long-term debt(figures in $M),VLO,8380.0,10840.0,13954.0,9178.0
Deferred tax liabilities(figures in $M),VLO,5217.0,5210.0,5275.0,5103.0
Deferred revenues(figures in $M),VLO,0.0,0.0,0.0,0.0
Other long-term liabilities(figures in $M),VLO,239.0,863.0,859.0,954.0
Total non-current liabilities(figures in $M),VLO,18053.0,21220.0,22849.0,18168.0
Total liabilities(figures in $M),VLO,35514.0,38071.0,32132.0,31328.0
Common stock(figures in $M),VLO,7.0,7.0,7.0,7.0
Retained earnings(figures in $M),VLO,38247.0,28281.0,28953.0,31974.0
Accumulated other comprehensive income(figures in $M),VLO,-1359.0,-1008.0,-1254.0,-1351.0
Total stockholders' equity(figures in $M),VLO,23561.0,18430.0,18801.0,21803.0
Total liabilities and stockholders' equity(figures in $M),VLO,60982.0,57888.0,51774.0,53864.0
