,ticker,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Cash and cash equivalents(figures in $M),VTR,122.564,149.725,413.327,106.363
Other short-term investments(figures in $M),VTR,0.0,0.0,237.553,237.36
Total cash(figures in $M),VTR,122.564,149.725,413.327,106.363
Net receivables(figures in $M),VTR,187.536,176.877,169.711,278.833
Total current assets(figures in $M),VTR,752.713,755.122,1066.815,942.147
Equity and other investments(figures in $M),VTR,579.949,523.465,443.688,45.022
Goodwill(figures in $M),VTR,1044.415,1046.14,1051.65,1051.161
Intangible assets(figures in $M),VTR,1346.19,1369.747,1230.886,1306.152
Other long-term assets(figures in $M),VTR,609.823,565.069,807.229,877.296
Total non-current assets(figures in $M),VTR,23405.127,23962.664,22862.589,23750.061
Total assets(figures in $M),VTR,24157.84,24717.786,23929.404,24692.208
Current debt(figures in $M),VTR,428.23,336.448,193.493,848.729
Accounts payable(figures in $M),VTR,1031.689,1090.254,1133.066,1145.7
Accrued liabilities(figures in $M),VTR,110.542,106.602,111.444,111.115
Other current liabilities(figures in $M),VTR,6.492,10.85,3.246,5.463
Total current liabilities(figures in $M),VTR,1148.723,1207.706,1247.756,1262.278
Long-term debt(figures in $M),VTR,12296.78,12027.544,11895.412,12158.773
Deferred tax liabilities(figures in $M),VTR,35.57,59.259,62.638,200.831
Total non-current liabilities(figures in $M),VTR,12787.44,12564.32,12403.457,12884.478
Total liabilities(figures in $M),VTR,13936.163,13772.026,13651.213,14146.756
Common stock(figures in $M),VTR,99.912,99.838,93.635,93.185
Retained earnings(figures in $M),VTR,-5449.385,-4679.889,-4030.376,-3669.05
Accumulated other comprehensive income(figures in $M),VTR,-36.8,-64.52,-54.354,-34.564
Total stockholders' equity(figures in $M),VTR,10152.968,10854.385,10180.167,10445.892
Total liabilities and stockholders' equity(figures in $M),VTR,24157.84,24717.786,23929.404,24692.208
