,ticker,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Cash and cash equivalents(figures in $M),WAT,480.529,501.234,436.695,335.715
Other short-term investments(figures in $M),WAT,0.862,68.051,6.451,1.429
Total cash(figures in $M),WAT,481.391,569.285,443.146,337.144
Net receivables(figures in $M),WAT,722.892,612.648,573.316,587.734
Inventory(figures in $M),WAT,455.71,356.095,304.281,320.551
Other current assets(figures in $M),WAT,103.91,90.914,80.29,67.062
Total current assets(figures in $M),WAT,1659.993,1538.028,1320.743,1245.429
"Gross property, plant and equipment(figures in $M)",WAT,1370.845,1306.163,1221.391,417.342
Accumulated depreciation(figures in $M),WAT,-702.122,-673.516,-634.136,-570.319
"Net property, plant and equipment(figures in $M)",WAT,582.217,547.913,494.003,417.342
Goodwill(figures in $M),WAT,430.328,437.865,444.362,356.128
Intangible assets(figures in $M),WAT,227.399,242.401,258.645,240.203
Other long-term assets(figures in $M),WAT,381.516,328.725,322.167,297.953
Total non-current assets(figures in $M),WAT,1621.46,1556.904,1519.177,1311.626
Total assets(figures in $M),WAT,3281.453,3094.932,2839.92,2557.055
Current debt(figures in $M),WAT,50.0,0.0,150.0,1681.163
Accounts payable(figures in $M),WAT,93.302,96.799,72.212,49.001
Taxes payable(figures in $M),WAT,132.545,61.278,76.558,45.967
Accrued liabilities(figures in $M),WAT,0.0,0.0,10.95,11.964
Deferred revenues(figures in $M),WAT,227.908,227.561,198.24,176.36
Other current liabilities(figures in $M),WAT,140.304,155.054,197.093,137.084
Total current liabilities(figures in $M),WAT,785.737,680.508,804.983,1681.163
Long-term debt(figures in $M),WAT,1574.878,1513.87,1356.515,1580.797
Other long-term liabilities(figures in $M),WAT,1202.087,1213.508,1251.261,1092.173
Total non-current liabilities(figures in $M),WAT,2776.965,2727.378,2607.776,1092.173
Total liabilities(figures in $M),WAT,2776.965,2727.378,2607.776,2773.336
Common stock(figures in $M),WAT,1.624,1.621,1.617,1.61
Retained earnings(figures in $M),WAT,8508.587,7800.832,7107.989,6587.403
Accumulated other comprehensive income(figures in $M),WAT,-141.572,-111.865,-117.943,-119.471
Total stockholders' equity(figures in $M),WAT,504.488,367.554,232.144,-216.281
Total liabilities and stockholders' equity(figures in $M),WAT,3281.453,3094.932,2839.92,2557.055
