,ticker,2023,2024,2025
Revenue(In $M),WDC,"12,419","14,079","17,535"
Dividend,WDC,0.00,0.01,0.74
Dividend Yield (in %),WDC,0.60 %,0.02 %,2.10 %
EPS,WDC,-3.01,0.73,5.85
P/E Ratio,WDC,-10.98,45.41,5.65
EBIT(In $M),WDC,-463,"1,115","3,037"
EBITDA(In $M),WDC,544,639,"3,739"
Net Profit(In $M),WDC,-949,393,"2,092"
Net Profit Adjusted(In $M),WDC,-949,393,"2,092"
Pre-Tax Profit(In $M),WDC,-691,727,"2,487"
Net Profit (Adjusted)(In $M),WDC,-778,447,"1,909"
EPS (Non-GAAP) ex. SOE(In $),WDC,-3.83,-1.01,2.84
EPS (GAAP)(In $),WDC,-4.50,-0.88,4.89
Gross Income(In $M),WDC,"2,139","3,025","5,334"
Cash Flow from Investing(In $M),WDC,-881,"-1,035","-1,375"
Cash Flow from Operations(In $M),WDC,-443,"1,268","2,496"
Cash Flow from Financing(In $M),WDC,524,-182,-56
Cash Flow per Share(In $),WDC,-0.45,3.08,8.71
Free Cash Flow(In $M),WDC,"-1,104",26,"1,237"
Free Cash Flow per Share(In $),WDC,-4.40,-0.72,4.50
Book Value per Share(In $),WDC,35.02,34.29,38.55
Net Debt(In $M),WDC,"5,095","5,047","4,308"
Research & Development Exp.(In $M),WDC,"1,981","1,887","2,007"
Capital Expenditure(In $M),WDC,962,"1,114","1,439"
"Selling, General & Admin. Exp.(In $M)",WDC,692,652,747
Shareholder’s Equity(In $M),WDC,"11,446","11,414","13,075"
Total Assets(In $M),WDC,"25,300","25,209","26,438"
