,2022,2021,2020,2019,2018,ticker
Current ratio,2.074,2.003,2.054,2.221,2.387,WDC
Quick ratio,1.126,1.155,1.232,1.221,1.616,WDC
Cash ratio,0.511,0.692,0.692,0.905,1.123,WDC
Days of sales outstanding,54.460,48.682,51.884,26.523,38.839,WDC
Days of inventory outstanding,102.784,106.430,86.496,93.493,83.029,WDC
Operating cycle,157.244,155.113,138.380,120.016,121.868,WDC
Days of payables outstanding,62.778,68.638,66.266,54.051,71.184,WDC
Cash conversion cycle,94.466,86.475,72.114,65.965,50.684,WDC
Gross profit margin,0.313,0.267,0.226,0.226,0.373,WDC
Operating profit margin,0.127,0.072,0.020,0.025,0.175,WDC
Pretax profit margin,0.113,0.055,-0.003,-0.017,0.101,WDC
Net profit margin,0.080,0.049,-0.015,-0.046,0.033,WDC
Effective tax rate,0.293,0.114,-4.435,-1.627,0.676,WDC
Return on assets,0.057,0.031,-0.010,-0.029,0.023,WDC
Return on equity,0.123,0.077,-0.026,-0.076,0.059,WDC
Return on capital employed,0.110,0.057,0.016,0.019,0.146,WDC
Net income per EBT,0.707,0.886,5.435,2.627,0.324,WDC
Ebt per ebit,0.888,0.760,-0.137,-0.685,0.576,WDC
Ebit per revenue,0.127,0.072,0.020,0.025,0.175,WDC
Debt ratio,0.535,0.590,0.628,0.622,0.606,WDC
Debt equity ratio,0.575,0.814,1.003,1.056,0.969,WDC
Long term debt to capitalization,0.365,0.441,0.493,0.507,0.488,WDC
Total debt to capitalization,0.365,0.449,0.501,0.514,0.492,WDC
Interest coverage,8.922,4.164,0.879,0.893,5.351,WDC
Cash flow to debt ratio,0.268,0.218,0.086,0.147,0.376,WDC
Company equity multiplier,2.149,2.437,2.687,2.646,2.535,WDC
Receivables turnover,6.702,7.498,7.035,13.762,9.398,WDC
Payables turnover,5.814,5.318,5.508,6.753,5.128,WDC
Inventory turnover,3.551,3.429,4.220,3.904,4.396,WDC
Fixed asset turnover,5.121,5.308,5.864,5.828,6.671,WDC
Asset turnover,0.716,0.648,0.652,0.628,0.706,WDC
Operating cash flow per share,6.026,6.223,2.765,5.298,14.158,WDC
Free cash flow per share,2.478,2.934,0.594,2.705,11.347,WDC
Cash per share,7.458,11.049,10.228,11.832,16.852,WDC
Payout ratio,0,0,-2.380,-0.775,0.879,WDC
Operating cash flow sales ratio,0.100,0.112,0.049,0.093,0.204,WDC
Free cash flow operating cash flow ratio,0.411,0.472,0.215,0.511,0.801,WDC
Cash flow coverage ratios,0.268,0.218,0.086,0.147,0.376,WDC
Short term coverage ratios,0,7.562,2.881,5.605,23.492,WDC
Capital expenditure coverage ratio,-1.698,-1.892,-1.274,-2.044,-5.036,WDC
Dividend paid and capex coverage ratio,-1.698,-1.892,-15.846,-8.942,-17.376,WDC
Dividend payout ratio,0,0,-2.380,-0.775,0.879,WDC
Price book value ratio,1.109,1.997,1.324,1.393,1.994,WDC
Price to book ratio,1.109,1.997,1.324,1.393,1.994,WDC
Price to sales ratio,0.721,1.265,0.756,0.838,1.114,WDC
Price earnings ratio,9.031,26.083,-50.588,-18.415,34.060,WDC
Price to free cash flows ratio,17.525,23.926,71.453,17.575,6.822,WDC
Price to operating cash flows ratio,7.206,11.282,15.348,8.975,5.467,WDC
Price cash flow ratio,7.206,11.282,15.348,8.975,5.467,WDC
Price earnings to growth ratio,0.115,0.062,-0.750,0.086,0.528,WDC
Price sales ratio,0.721,1.265,0.756,0.838,1.114,WDC
Dividend yield,0,0,0.047,0.042,0.026,WDC
Enterprise value multiple,5.424,11.224,9.919,9.391,6.053,WDC
Price fair value,1.109,1.997,1.324,1.393,1.994,WDC
