,ticker,sentiment
2023-04-09 11:04:58,WDC,-0.6808
2023-04-09 18:53:00,WDC,-0.296
2023-04-09 21:53:00,WDC,0.3612
2023-04-10 00:30:00,WDC,0.3612
2023-04-10 03:34:00,WDC,-0.296
2023-04-10 05:40:14,WDC,-0.1027
2023-04-10 09:31:00,WDC,-0.5423
2023-04-10 10:30:00,WDC,0.5106
2023-04-10 13:03:39,WDC,-0.5106
2023-04-10 14:25:10,WDC,0.2263
2023-04-11 02:53:00,WDC,0.1027
2023-04-11 03:33:29,WDC,0.1027
2023-04-11 04:44:55,WDC,0.1531
2023-04-12 20:37:00,WDC,0.3612
2023-04-13 01:04:20,WDC,0.34
2023-04-13 04:13:00,WDC,0.4019
2023-04-13 13:32:16,WDC,0.3612
2023-04-14 03:15:49,WDC,0.4215
2023-04-14 04:05:00,WDC,-0.296
2023-04-14 06:20:07,WDC,0.2023
2023-04-20 01:10:00,WDC,-0.5267
2023-04-20 23:53:00,WDC,-0.34
2023-04-21 20:45:00,WDC,0.3818
2023-04-24 16:27:10,WDC,-0.0258
2023-04-25 22:53:00,WDC,-0.2732
2023-04-28 10:31:00,WDC,0.5106
2023-05-01 23:30:49,WDC,0.6369
2023-05-04 10:32:00,WDC,0.3089
