,ticker,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Cash and cash equivalents(figures in $M),WEC,28.9,16.3,24.8,37.5
Total cash(figures in $M),WEC,28.9,16.3,24.8,37.5
Net receivables(figures in $M),WEC,1818.4,1505.7,1202.8,1176.5
Inventory(figures in $M),WEC,807.1,635.8,528.6,549.8
Other current assets(figures in $M),WEC,261.7,253.4,63.4,68.0
Total current assets(figures in $M),WEC,3187.7,2656.7,2083.0,2093.6
"Gross property, plant and equipment(figures in $M)",WEC,39497.6,36871.7,35072.1,32498.8
Accumulated depreciation(figures in $M),WEC,-10383.8,-9889.3,-9364.7,-8878.7
"Net property, plant and equipment(figures in $M)",WEC,29113.8,26982.4,25707.4,23620.1
Equity and other investments(figures in $M),WEC,1909.2,1789.4,1764.3,1720.8
Goodwill(figures in $M),WEC,3052.8,3052.8,3052.8,3052.8
Other long-term assets(figures in $M),WEC,427.3,361.1,896.5,957.8
Total non-current assets(figures in $M),WEC,38684.4,36331.8,34945.1,32858.2
Total assets(figures in $M),WEC,41872.1,38988.5,37028.1,34951.8
Current debt(figures in $M),WEC,2528.3,2066.4,2562.7,1524.0
Accounts payable(figures in $M),WEC,1198.1,1005.7,880.7,908.1
Accrued liabilities(figures in $M),WEC,0.0,0.0,174.0,199.8
Other current liabilities(figures in $M),WEC,884.6,680.9,530.7,550.8
Total current liabilities(figures in $M),WEC,4611.0,3753.0,4148.1,3182.7
Long-term debt(figures in $M),WEC,14766.2,13523.7,11728.1,11211.0
Deferred tax liabilities(figures in $M),WEC,4625.6,4308.5,4059.8,3769.3
Deferred revenues(figures in $M),WEC,370.7,389.2,412.2,497.1
Other long-term liabilities(figures in $M),WEC,1475.3,1203.2,1229.4,1128.9
Total non-current liabilities(figures in $M),WEC,25644.5,24122.2,22217.5,21514.5
Total liabilities(figures in $M),WEC,30255.5,27875.2,26365.6,24697.2
Common stock(figures in $M),WEC,33.6,33.6,33.6,33.6
Retained earnings(figures in $M),WEC,7265.3,6775.1,6329.6,5927.7
Accumulated other comprehensive income(figures in $M),WEC,-6.8,-3.2,-6.8,-4.1
Total stockholders' equity(figures in $M),WEC,11407.3,10943.6,10500.1,10143.8
Total liabilities and stockholders' equity(figures in $M),WEC,41872.1,38988.5,37028.1,34951.8
