,ticker,ttm,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Total revenue(figures in $M),WFC,73785.0,73785.0,78492.0,72340.0,85063.0
Interest expense(figures in $M),WFC,9074.0,9074.0,3915.0,7963.0,18852.0
Income before tax(figures in $M),WFC,14969.0,14969.0,28816.0,581.0,24198.0
Income tax expense(figures in $M),WFC,2087.0,2087.0,5578.0,-3005.0,4157.0
Income from continuing operations(figures in $M),WFC,12882.0,12882.0,23238.0,3586.0,20041.0
Net income(figures in $M),WFC,13182.0,13182.0,21548.0,3301.0,19549.0
Net income available to common shareholders(figures in $M),WFC,12067.0,12067.0,20256.0,1710.0,17938.0
Basic EPS(figures in $M),WFC,,,4.9900000000000005e-06,4.3e-07,4.12e-06
Diluted EPS(figures in $M),WFC,,,4.95e-06,4.3e-07,4.09e-06
Basic average shares(figures in $M),WFC,,,4061.9,4118.0,4393.1
Diluted average shares(figures in $M),WFC,,,4096.2,4134.2,4425.4
