,2017,2016,2015,2014,2013,ticker
Current ratio,1.583,1.473,1.233,1.397,1.820,WFM
Quick ratio,0.788,0.725,0.487,0.749,1.113,WFM
Cash ratio,0.238,0.262,0.189,0.151,0.267,WFM
Days of sales outstanding,5.510,5.618,5.171,5.092,5.312,WFM
Days of inventory outstanding,16.168,18.298,18.299,17.592,18.232,WFM
Operating cycle,21.678,23.915,23.470,22.683,23.545,WFM
Days of payables outstanding,12.735,10.865,10.797,11.010,10.878,WFM
Cash conversion cycle,8.943,13.050,12.673,11.674,12.667,WFM
Gross profit margin,0.337,0.344,0.352,0.355,0.358,WFM
Operating profit margin,0.029,0.055,0.056,0.066,0.068,WFM
Pretax profit margin,0.026,0.053,0.057,0.067,0.069,WFM
Net profit margin,0.015,0.032,0.035,0.041,0.043,WFM
Effective tax rate,0.412,0.387,0.390,0.388,0.384,WFM
Return on assets,0.037,0.080,0.093,0.101,0.099,WFM
Return on equity,0.071,0.157,0.142,0.152,0.142,WFM
Return on capital employed,0.086,0.171,0.192,0.208,0.198,WFM
Net income per EBT,0.588,0.613,0.610,0.612,0.616,WFM
Ebt per ebit,0.908,0.965,1.020,1.013,1.012,WFM
Ebit per revenue,0.029,0.055,0.056,0.066,0.068,WFM
Debt ratio,0.486,0.492,0.343,0.336,0.300,WFM
Debt equity ratio,0.316,0.326,0.017,0.016,0.007,WFM
Long term debt to capitalization,0.240,0.245,0.016,0.015,0.007,WFM
Total debt to capitalization,0.240,0.246,0.017,0.016,0.007,WFM
Interest coverage,9.367,20.902,0,0,0,WFM
Cash flow to debt ratio,1.051,1.062,17.369,17.548,37.370,WFM
Company equity multiplier,1.946,1.967,1.523,1.506,1.428,WFM
Receivables turnover,66.240,64.975,70.592,71.687,68.707,WFM
Payables turnover,28.660,33.593,33.807,33.152,33.555,WFM
Inventory turnover,22.575,19.948,19.946,20.748,20.019,WFM
Fixed asset turnover,4.562,4.568,4.865,4.856,5.320,WFM
Asset turnover,2.401,2.480,2.681,2.471,2.332,WFM
Operating cash flow per share,3.490,3.422,3.149,2.958,2.718,WFM
Free cash flow per share,1.509,1.220,3.141,2.904,2.718,WFM
Cash per share,2.533,2.239,1.093,2.020,2.756,WFM
Payout ratio,0.776,0.349,0.343,0.294,0.922,WFM
Operating cash flow sales ratio,0.071,0.071,0.073,0.077,0.078,WFM
Free cash flow operating cash flow ratio,0.432,0.357,0.997,0.982,1,WFM
Cash flow coverage ratios,1.051,1.062,17.369,17.548,37.370,WFM
Short term coverage ratios,569,372,376.333,544,1.009 K,WFM
Capital expenditure coverage ratio,-1.762,-1.559,-3.370,-4.137,-5.096,WFM
Dividend paid and capex coverage ratio,-2.496,-2.071,-7.477,-11.699,3.255,WFM
Dividend payout ratio,0.776,0.349,0.343,0.294,0.922,WFM
Price book value ratio,3.992,2.898,2.925,3.623,5.600,WFM
Price to book ratio,3.992,2.898,2.925,3.623,5.600,WFM
Price to sales ratio,0.854,0.594,0.716,0.973,1.681,WFM
Price earnings ratio,55.890,18.428,20.567,23.859,39.411,WFM
Price to free cash flows ratio,27.831,23.474,9.790,12.935,21.522,WFM
Price to operating cash flows ratio,12.032,8.372,9.764,12.697,21.522,WFM
Price cash flow ratio,12.032,8.372,9.764,12.697,21.522,WFM
Price earnings to growth ratio,-1.082,4.621,-4.093,3.942,-0.942,WFM
Price sales ratio,0.854,0.594,0.716,0.973,1.681,WFM
Dividend yield,0.014,0.019,0.017,0.012,0.023,WFM
Enterprise value multiple,15.072,7.357,8.348,10.561,17.847,WFM
Price fair value,3.992,2.898,2.925,3.623,5.600,WFM
