,ticker,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Cash and cash equivalents(figures in $M),WMB,152.0,1680.0,142.0,289.0
Total cash(figures in $M),WMB,152.0,1680.0,142.0,289.0
Net receivables(figures in $M),WMB,2723.0,1978.0,999.0,996.0
Inventory(figures in $M),WMB,320.0,379.0,136.0,125.0
Other current assets(figures in $M),WMB,279.0,211.0,152.0,170.0
Total current assets(figures in $M),WMB,3797.0,4549.0,1429.0,1580.0
"Gross property, plant and equipment(figures in $M)",WMB,47057.0,44184.0,42489.0,41510.0
Accumulated depreciation(figures in $M),WMB,-16168.0,-14926.0,-13560.0,-12310.0
"Net property, plant and equipment(figures in $M)",WMB,30889.0,29258.0,28929.0,29200.0
Equity and other investments(figures in $M),WMB,5065.0,5127.0,5159.0,6235.0
Intangible assets(figures in $M),WMB,7363.0,7402.0,7444.0,7959.0
Other long-term assets(figures in $M),WMB,1319.0,1276.0,1204.0,1066.0
Total non-current assets(figures in $M),WMB,44636.0,43063.0,42736.0,44460.0
Total assets(figures in $M),WMB,48433.0,47612.0,44165.0,46040.0
Current debt(figures in $M),WMB,977.0,2025.0,893.0,2140.0
Accounts payable(figures in $M),WMB,2327.0,1746.0,482.0,552.0
Accrued liabilities(figures in $M),WMB,1270.0,1201.0,944.0,1276.0
Deferred revenues(figures in $M),WMB,141.0,134.0,129.0,158.0
Other current liabilities(figures in $M),WMB,316.0,166.0,304.0,346.0
Total current liabilities(figures in $M),WMB,4890.0,4972.0,2319.0,3968.0
Long-term debt(figures in $M),WMB,21927.0,21650.0,21451.0,20148.0
Deferred tax liabilities(figures in $M),WMB,2887.0,2453.0,1923.0,1782.0
Other long-term liabilities(figures in $M),WMB,4684.0,4436.0,3889.0,3778.0
Total non-current liabilities(figures in $M),WMB,29498.0,28539.0,27263.0,25708.0
Total liabilities(figures in $M),WMB,34388.0,33511.0,29582.0,29676.0
Common stock(figures in $M),WMB,1288.0,1285.0,1283.0,1282.0
Retained earnings(figures in $M),WMB,-13271.0,-13237.0,-12748.0,-11002.0
Accumulated other comprehensive income(figures in $M),WMB,-24.0,-33.0,-96.0,-199.0
Total stockholders' equity(figures in $M),WMB,11485.0,11423.0,11769.0,13363.0
Total liabilities and stockholders' equity(figures in $M),WMB,48433.0,47612.0,44165.0,46040.0
