,headline,final_score,datetime
0,"Walmart keeps grocery prices steady amid inflation, antitrust claims",86,2023-05-05 09:00:19
1,"Bunk beds sold by Walmart, Home Depot, Amazon and others recalled over faulty slats",86,2023-05-05 04:30:00
4,Walmart Inc. stock underperforms Thursday when compared to competitors despite daily gains,60,2023-05-04 10:33:00
10,"Why the Kroger Merger Should Scare Amazon, Walmart, and Target",86,2023-05-03 15:07:00
11,40 Best Things To Buy at Walmart and Target,86,2023-05-03 11:00:04
12,Walmart Inc. stock underperforms Wednesday when compared to competitors,90,2023-05-03 10:33:00
14,Dividend Corner: Is Walmart a good dividend stock pick amid recessionary fears?,86,2023-05-03 03:18:00
15,Walmart (WMT) Stock Moves -0.27%: What You Should Know,86,2023-05-02 14:45:09
16,Walmart Takes a Big Step Toward Fixing a Huge Customer Pain Point,86,2023-05-02 11:26:00
17,"Walmart Inc. stock falls Tuesday, still outperforms market",90,2023-05-02 10:32:00
23,10 Secret Ways To Save Money With Walmart’s Hidden Clearance,86,2023-05-01 16:00:14
24,"Walmart Inc. stock rises Monday, outperforms market",90,2023-05-01 10:32:00
25,Why Walmart (WMT) is Poised to Beat Earnings Estimates Again,86,2023-05-01 09:10:04
29,Broker Darlings of the Dow: Walmart Ranks As a Top 15 Analyst Pick,86,2023-05-01 03:51:00
30,Video: Dow Analyst Moves: WMT,60,2023-05-01 03:50:00
36,Best Dividend Stock to Buy Now: Walmart vs. Lowe's vs. Nordstrom,86,2023-04-30 07:46:00
37,"Energizer, Walmart sued for conspiring to raise battery prices, Reuters reports",86,2023-04-30 02:14:00
41,"Energizer, Walmart sued for conspiring to raise battery prices",86,2023-04-29 12:18:09
42,"UPDATE 1-Energizer, Walmart sued for conspiring to raise battery prices",86,2023-04-29 12:18:06
43,"Energizer, Walmart are sued for conspiring to raise battery prices",86,2023-04-29 09:21:12
44,Is It Worth Considering Walmart Inc. (NYSE:WMT) For Its Upcoming Dividend?,90,2023-04-29 05:09:45
49,"Walmart Inc. stock falls Friday, underperforms market",90,2023-04-28 10:32:00
50,"Kroger, Walmart Have An Inflation Problem (It's Not What You Think)",86,2023-04-28 09:42:00
51,TSCDY or WMT: Which Is the Better Value Stock Right Now?,60,2023-04-28 08:40:03
53,Investors Heavily Search Walmart Inc. (WMT): Here is What You Need to Know,90,2023-04-28 06:00:01
57,Walmart’s Chicago Store Closures Weren’t a Fluke: Why Retailing in Cities Is So Hard,86,2023-04-27 22:00:00
60,"Noteworthy Friday Option Activity: WMT, ADUS, UWMC",60,2023-04-27 19:21:00
61,Walmart Deal Will Bring Back MoviePass Service (Really),86,2023-04-27 14:09:00
62,"Walmart Inc. stock rises Thursday, still underperforms market",90,2023-04-27 10:33:00
64,"Where will Bed Bath & Beyond customers go next? Amazon, Target and Walmart look like winners.",57,2023-04-27 05:27:00
65,8 Items at Dollar Tree That Cost Way More at Walmart,86,2023-04-27 04:00:50
