,ticker,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Cash and cash equivalents(figures in $M),WU,1285.9,1208.3,1428.2,1450.5
Other short-term investments(figures in $M),WU,0.0,0.0,1990.6,3296.7
Total cash(figures in $M),WU,1285.9,1208.3,1428.2,1450.5
Net receivables(figures in $M),WU,0.0,0.0,1135.1,1230.1
Total current assets(figures in $M),WU,1547.5,2661.2,1428.2,1450.5
"Gross property, plant and equipment(figures in $M)",WU,622.4,779.8,810.3,803.4
Accumulated depreciation(figures in $M),WU,-512.8,-650.4,-659.9,-616.5
"Net property, plant and equipment(figures in $M)",WU,109.6,129.4,150.4,186.9
Equity and other investments(figures in $M),WU,210.9,0.0,34.5,33.0
Goodwill(figures in $M),WU,2034.6,2034.6,2566.6,2566.6
Intangible assets(figures in $M),WU,457.9,417.1,505.0,494.9
Other long-term assets(figures in $M),WU,4346.7,3581.2,4846.1,4059.6
Total non-current assets(figures in $M),WU,6948.8,6162.3,8068.1,7308.0
Total assets(figures in $M),WU,8496.3,8823.5,9496.3,8758.5
Current debt(figures in $M),WU,180.0,275.0,80.0,245.0
Accounts payable(figures in $M),WU,464.0,450.2,500.9,601.9
Taxes payable(figures in $M),WU,725.3,870.7,928.9,1019.7
Accrued liabilities(figures in $M),WU,37.4,0.0,77.1,0.0
Other current liabilities(figures in $M),WU,-89.4,0.0,0.0,0.0
Total current liabilities(figures in $M),WU,1189.3,1320.9,1429.8,1621.6
Long-term debt(figures in $M),WU,2616.8,3008.4,3067.2,3229.3
Deferred tax liabilities(figures in $M),WU,158.5,203.8,188.9,152.1
Deferred revenues(figures in $M),WU,104.3,0.0,0.0,0.0
Other long-term liabilities(figures in $M),WU,3871.4,3112.9,4623.8,3795.0
Total non-current liabilities(figures in $M),WU,6829.2,7147.0,7879.9,7176.4
Total liabilities(figures in $M),WU,8018.5,8467.9,9309.7,8798.0
Common stock(figures in $M),WU,3.7,3.9,4.1,4.2
Retained earnings(figures in $M),WU,-353.9,-537.2,-543.1,-675.9
Accumulated other comprehensive income(figures in $M),WU,-167.9,-52.1,-159.5,-209.0
Total stockholders' equity(figures in $M),WU,477.8,355.6,186.6,-39.5
Total liabilities and stockholders' equity(figures in $M),WU,8496.3,8823.5,9496.3,8758.5
