,ticker,ttm,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Total revenue(figures in $M),WU,4475.5,4475.5,5070.8,4835.0,5292.1
Cost of revenue(figures in $M),WU,2626.4,2626.4,2896.4,2826.5,3086.5
Gross profit(figures in $M),WU,1849.1,1849.1,2174.4,2008.5,2205.6
Selling general and administrative(figures in $M),WU,964.2,964.2,1051.3,1041.2,1271.6
Total operating expenses(figures in $M),WU,964.2,964.2,1051.3,1041.2,1271.6
Operating income or loss(figures in $M),WU,884.9,884.9,1123.1,967.3,934.0
Interest expense(figures in $M),WU,101.0,101.0,105.5,118.5,152.0
Total other income/expenses net(figures in $M),WU,210.8,210.8,-83.6,3.1,533.1
Income before tax(figures in $M),WU,1008.6,1008.6,935.4,855.1,1321.4
Income tax expense(figures in $M),WU,98.0,98.0,129.6,110.8,263.1
Income from continuing operations(figures in $M),WU,910.6,910.6,805.8,744.3,1058.3
Net income(figures in $M),WU,910.6,910.6,805.8,744.3,1058.3
Net income available to common shareholders(figures in $M),WU,910.6,910.6,805.8,744.3,1058.3
Basic EPS(figures in $M),WU,,2.35e-06,1.98e-06,1.81e-06,2.47e-06
Diluted EPS(figures in $M),WU,,2.34e-06,1.9699999999999998e-06,1.79e-06,2.46e-06
Basic average shares(figures in $M),WU,,387.2,406.8,412.3,427.6
Diluted average shares(figures in $M),WU,,388.4,408.9,415.2,430.9
EBITDA(figures in $M),WU,,1293.4,1249.1,1199.2,1731.1
