,ticker,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Cash and cash equivalents(figures in $M),WY,1581.0,1879.0,495.0,139.0
Other short-term investments(figures in $M),WY,0.0,0.0,0.0,362.0
Total cash(figures in $M),WY,1581.0,1879.0,495.0,139.0
Net receivables(figures in $M),WY,357.0,507.0,450.0,309.0
Inventory(figures in $M),WY,550.0,520.0,443.0,416.0
Other current assets(figures in $M),WY,216.0,0.0,0.0,0.0
Total current assets(figures in $M),WY,2746.0,3211.0,1609.0,1611.0
"Gross property, plant and equipment(figures in $M)",WY,2607.0,2487.0,2354.0,2380.0
Accumulated depreciation(figures in $M),WY,-3710.0,-3592.0,-3432.0,-3477.0
"Net property, plant and equipment(figures in $M)",WY,2607.0,2487.0,2354.0,2380.0
Equity and other investments(figures in $M),WY,0.0,0.0,0.0,0.0
Other long-term assets(figures in $M),WY,11979.0,12013.0,12228.0,12343.0
Total non-current assets(figures in $M),WY,14594.0,14517.0,14702.0,14795.0
Total assets(figures in $M),WY,17340.0,17728.0,16311.0,16406.0
Current debt(figures in $M),WY,982.0,0.0,150.0,230.0
Accounts payable(figures in $M),WY,247.0,281.0,204.0,246.0
Accrued liabilities(figures in $M),WY,511.0,749.0,596.0,530.0
Total current liabilities(figures in $M),WY,1740.0,1030.0,950.0,1006.0
Long-term debt(figures in $M),WY,4071.0,5099.0,5325.0,6147.0
Deferred tax liabilities(figures in $M),WY,96.0,46.0,24.0,6.0
Other long-term liabilities(figures in $M),WY,340.0,346.0,370.0,377.0
Total non-current liabilities(figures in $M),WY,4851.0,5931.0,6630.0,7223.0
Total liabilities(figures in $M),WY,6591.0,6961.0,7580.0,8229.0
Common stock(figures in $M),WY,916.0,934.0,934.0,932.0
Retained earnings(figures in $M),WY,2389.0,2131.0,411.0,-3.0
Accumulated other comprehensive income(figures in $M),WY,-247.0,-479.0,-822.0,-904.0
Total stockholders' equity(figures in $M),WY,10749.0,10767.0,8731.0,8177.0
Total liabilities and stockholders' equity(figures in $M),WY,17340.0,17728.0,16311.0,16406.0
