,2022,2021,2020,2019,2018,ticker
Current ratio,1.578,3.117,1.694,1.601,0.826,WY
Quick ratio,1.138,2.414,1.081,0.903,0.547,WY
Cash ratio,0.909,1.824,0.521,0.138,0.172,WY
Days of sales outstanding,14.300,21.719,25.781,22.666,23.142,WY
Days of inventory outstanding,30.583,31.099,29.685,28.056,25.391,WY
Operating cycle,44.884,52.818,55.466,50.722,48.533,WY
Days of payables outstanding,13.735,16.806,13.670,16.591,14.490,WY
Cash conversion cycle,31.149,36.013,41.796,34.132,34.042,WY
Gross profit margin,0.355,0.402,0.277,0.174,0.252,WY
Operating profit margin,0.302,0.357,0.165,0.037,0.186,WY
Pretax profit margin,0.226,0.325,0.130,-0.032,0.108,WY
Net profit margin,0.185,0.256,0.106,-0.012,0.100,WY
Effective tax rate,0.184,0.214,0.188,0.643,0.073,WY
Return on assets,0.108,0.147,0.049,-0.005,0.043,WY
Return on equity,0.175,0.242,0.091,-0.009,0.083,WY
Return on capital employed,0.197,0.218,0.081,0.016,0.091,WY
Net income per EBT,0.816,0.786,0.812,0.357,0.927,WY
Ebt per ebit,0.748,0.910,0.789,-0.869,0.579,WY
Ebit per revenue,0.302,0.357,0.165,0.037,0.186,WY
Debt ratio,0.380,0.393,0.465,0.502,0.476,WY
Debt equity ratio,0.470,0.476,0.627,0.780,0.735,WY
Long term debt to capitalization,0.275,0.321,0.379,0.429,0.375,WY
Total debt to capitalization,0.320,0.322,0.385,0.438,0.424,WY
Interest coverage,11.407,11.639,2.808,0.648,3.717,WY
Cash flow to debt ratio,0.560,0.617,0.279,0.151,0.167,WY
Company equity multiplier,1.613,1.647,1.868,2.006,1.907,WY
Receivables turnover,25.524,16.806,14.158,16.103,15.772,WY
Payables turnover,26.575,21.719,26.701,22,25.189,WY
Inventory turnover,11.935,11.737,12.296,13.010,14.375,WY
Fixed asset turnover,3.906,4.102,3.200,2.754,3.269,WY
Asset turnover,0.587,0.575,0.462,0.399,0.433,WY
Operating cash flow per share,3.817,4.215,2.047,1.295,1.474,WY
Free cash flow per share,2.789,3.428,1.102,0.780,0.908,WY
Cash per share,2.131,2.507,0.663,0.672,0.778,WY
Payout ratio,0.860,0.339,0.478,-13.329,1.330,WY
Operating cash flow sales ratio,0.278,0.310,0.203,0.147,0.149,WY
Free cash flow operating cash flow ratio,0.731,0.813,0.538,0.602,0.616,WY
Cash flow coverage ratios,0.560,0.617,0.279,0.151,0.167,WY
Short term coverage ratios,2.884,131.625,10.193,4.200,0.906,WY
Capital expenditure coverage ratio,-3.712,-5.354,-2.166,-2.516,-2.604,WY
Dividend paid and capex coverage ratio,3.316,10.745,-4.705,1.536,1.958,WY
Dividend payout ratio,0.860,0.339,0.478,-13.329,1.330,WY
Price book value ratio,2.140,2.867,2.868,2.755,1.823,WY
Price to book ratio,2.140,2.867,2.868,2.755,1.823,WY
Price to sales ratio,2.258,3.026,3.325,3.437,2.206,WY
Price earnings ratio,12.234,11.839,31.424,-296.396,22.052,WY
Price to free cash flows ratio,11.116,12.014,30.431,38.705,24.080,WY
Price to operating cash flows ratio,8.121,9.770,16.380,23.319,14.833,WY
Price cash flow ratio,8.121,9.770,16.380,23.319,14.833,WY
Price earnings to growth ratio,-0.448,0.053,0.027,2.692,0.772,WY
Price sales ratio,2.258,3.026,3.325,3.437,2.206,WY
Dividend yield,0.070,0.029,0.015,0.045,0.060,WY
Enterprise value multiple,7.947,8.366,17.497,38.098,19.295,WY
Price fair value,2.140,2.867,2.868,2.755,1.823,WY
