,headline,final_score,datetime
0,"Weyerhaeuser Co. stock falls Thursday, underperforms market",90,2023-05-04 10:34:00
1,"Weyerhaeuser Co. stock rises Wednesday, outperforms market",90,2023-05-03 10:34:00
2,"Weyerhaeuser Co. stock falls Tuesday, underperforms market",90,2023-05-02 10:33:00
3,"Weyerhaeuser Co. stock falls Monday, underperforms market",90,2023-05-01 10:33:00
4,"Analysts Offer Insights on Financial Companies: American Tower (AMT), Cullen/Frost Bankers (CFR) and Weyerhaeuser (WY)",86,2023-05-01 01:51:00
5,BMO Capital Sticks to Its Hold Rating for Weyerhaeuser (WY),86,2023-04-30 23:06:00
6,Goldman Sachs Remains a Buy on Weyerhaeuser (WY),86,2023-04-30 04:15:00
7,Bank of America Securities Sticks to Their Hold Rating for Weyerhaeuser (WY),86,2023-04-30 01:06:00
8,Q1 2023 Weyerhaeuser Co Earnings Call,90,2023-04-29 00:17:00
9,"Weyerhaeuser (WY) Q1 Earnings Top, Sales Miss, Mixed Q2 Views",86,2023-04-28 11:25:06
10,"Weyerhaeuser Co. stock rises Friday, outperforms market",90,2023-04-28 10:32:00
11,Weyerhaeuser Company (WY) Q1 2023 Earnings Call Transcript,90,2023-04-28 06:51:01
12,Weyerhaeuser Company 2023 Q1 - Results - Earnings Call Presentation,90,2023-04-28 01:32:56
13,D.A. Davidson Remains a Buy on Weyerhaeuser (WY),86,2023-04-28 00:37:00
14,Weyerhaeuser (WY) Tops Q1 Earnings Estimates,86,2023-04-27 15:25:10
15,Weyerhaeuser Reports First Quarter Results,86,2023-04-27 13:30:00
16,Weyerhaeuser Expects Higher Sales -- Commodity Comment,86,2023-04-27 11:01:00
17,"Weyerhaeuser Co. stock rises Thursday, still underperforms market",90,2023-04-27 10:34:00
18,Weyerhaeuser 1Q Sales Drop on Softening Demand,86,2023-04-27 10:24:00
19,Weyerhaeuser: Q1 Earnings Snapshot,86,2023-04-27 10:16:00
20,Weyerhaeuser Q1 earnings top expectations despite ongoing macro headwinds,86,2023-04-26 21:11:00
21,"Weyerhaeuser Non-GAAP EPS of $0.24 beats by $0.12, revenue of $1.82B misses by $40M",86,2023-04-26 20:37:00
22,"Weyerhaeuser sees Q2 earnings `comparable` to Q1, consensus 26c",86,2023-04-26 20:33:00
23,"Weyerhaeuser reports Q1 EPS 21c, consensus 11c",86,2023-04-26 20:32:00
24,"Weyerhaeuser Co. stock falls Wednesday, underperforms market",90,2023-04-26 10:32:00
25,Factors Setting the Tone for Weyerhaeuser's (WY) Q1 Earnings,86,2023-04-26 05:11:12
26,Weyerhaeuser Q1 2023 Earnings Preview,86,2023-04-25 21:49:00
28,RBC Capital Remains a Buy on Weyerhaeuser (WY),86,2023-04-25 01:47:00
30,"Weyerhaeuser Co. stock falls Friday, underperforms market",90,2023-04-21 10:32:00
31,Earnings Preview: Weyerhaeuser (WY) Q1 Earnings Expected to Decline,86,2023-04-20 07:02:02
32,"Weyerhaeuser Co. stock rises Monday, outperforms market",90,2023-04-17 10:32:00
34,"Weyerhaeuser Co. stock rises Thursday, outperforms market",90,2023-04-13 10:32:00
35,Weyerhaeuser's Tax Advantaged Dividend Helps Harvest Capital Loss Carryforwards,86,2023-04-12 16:56:48
36,Weyerhaeuser`s Tax Advantaged Dividend Helps Harvest Capital Loss Carryforwards,86,2023-04-12 03:58:00
37,Truist Securities Maintains Weyerhaeuser (WY) Hold Recommendation,86,2023-04-11 14:46:09
38,"Weyerhaeuser Co. stock rises Tuesday, outperforms market",90,2023-04-11 10:32:00
39,Weyerhaeuser (WY) Receives a Hold from Truist Financial,86,2023-04-11 04:26:00
40,DA Davidson Upgrades Weyerhaeuser (WY),86,2023-04-10 14:24:53
41,Weyerhaeuser wins Buy rating at DA Davidson after stock pullback,86,2023-04-10 03:17:00
44,Weyerhaeuser upgraded to Buy at DA Davidson after pullback in the stock price,86,2023-04-09 23:37:00
45,Weyerhaeuser upgraded to Buy from Neutral at DA Davidson,86,2023-04-09 22:47:00
46,Weyerhaeuser price target lowered to $36 from $39 at Citi,86,2023-04-05 22:27:00
47,Weyerhaeuser Co. stock outperforms market despite losses on the day,90,2023-04-04 10:32:00
50,Weyerhaeuser to Release First Quarter Results on April 27,86,2023-03-27 13:30:00
51,"Weyerhaeuser Co. stock remains steady Tuesday, underperforms market",90,2023-03-21 10:32:00
54,"Weyerhaeuser Co. stock falls Thursday, still outperforms market",90,2023-03-09 09:33:00
