,ticker,2023,2024,2025,2026
Revenue(In $M),X,"18,703","15,975","16,202",-
Dividend,X,0.20,0.20,0.17,-
Dividend Yield (in %),X,0.74 %,0.74 %,0.72 %,-
EPS,X,3.77,1.28,3.01,-
P/E Ratio,X,5.56,16.36,6.96,-
EBIT(In $M),X,"1,373",767,910,578
EBITDA(In $M),X,"2,124","1,471","2,090",-
Net Profit(In $M),X,988,512,749,-
Net Profit Adjusted(In $M),X,988,512,749,-
Pre-Tax Profit(In $M),X,"1,286",665,972,-
Net Profit (Adjusted)(In $M),X,"1,407",539,-,-
EPS (Non-GAAP) ex. SOE(In $),X,3.77,1.28,3.01,-
EPS (GAAP)(In $),X,4.22,2.35,2.86,-
Gross Income(In $M),X,"1,953","2,208",-,-
Cash Flow from Investing(In $M),X,"-2,501",-,-,-
Cash Flow from Operations(In $M),X,"1,992","1,498","1,908",-
Cash Flow from Financing(In $M),X,-169,-61,-,-
Cash Flow per Share(In $),X,7.34,6.00,6.92,-
Free Cash Flow(In $M),X,-724,-26,805,-
Free Cash Flow per Share(In $),X,-4.42,0.25,2.76,-
Book Value per Share(In $),X,47.44,53.64,57.15,-
Net Debt(In $M),X,"1,513","1,334",387,-
Research & Development Exp.(In $M),X,-,-,-,-
Capital Expenditure(In $M),X,"2,482","1,392",895,-
"Selling, General & Admin. Exp.(In $M)",X,400,397,-,-
Shareholder’s Equity(In $M),X,"10,908","11,897","12,557",-
Total Assets(In $M),X,"20,194","20,698",-,-
