,ticker,sentiment
2023-04-06 01:08:49,X,0.7269
2023-04-07 06:00:01,X,0.25
2023-04-11 07:00:02,X,0.6369
2023-04-11 14:39:24,X,0.5719
2023-04-13 05:33:00,X,0.4215
2023-04-13 07:20:02,X,0.2732
2023-04-13 09:20:04,X,0.5267
2023-04-14 05:24:05,X,0.4215
2023-04-14 06:00:01,X,0.4215
2023-04-17 23:57:33,X,0.4215
2023-04-19 06:40:01,X,0.2732
2023-04-19 14:55:09,X,0.2732
2023-04-20 06:00:01,X,0.6497
2023-04-20 07:02:02,X,0.4215
2023-04-20 14:50:09,X,0.4215
2023-04-21 04:49:23,X,0.4404
2023-04-21 05:32:00,X,0.1779
2023-04-21 07:18:02,X,0.2732
2023-04-25 01:00:00,X,0.34
2023-04-25 02:55:00,X,0.4215
2023-04-26 18:04:00,X,0.296
2023-04-26 21:22:00,X,0.6908
2023-04-27 01:46:04,X,0.4019
2023-04-27 02:52:00,X,0.4215
2023-04-27 10:06:00,X,0.1779
2023-04-27 10:19:50,X,0.6908
2023-04-27 13:17:00,X,0.8176
2023-04-27 13:32:00,X,0.4215
2023-04-27 15:25:10,X,0.7269
2023-04-28 12:32:46,X,0.4215
2023-04-28 20:36:06,X,0.4215
2023-04-29 05:13:52,X,0.6369
2023-04-30 04:56:00,X,0.4215
2023-04-30 17:54:58,X,0.4215
2023-04-30 23:10:00,X,0.4215
2023-05-01 01:49:00,X,-0.128
2023-05-01 04:30:00,X,0.4215
2023-05-01 05:40:00,X,0.2023
2023-05-01 06:00:01,X,0.4215
2023-05-01 10:39:57,X,0.4215
2023-05-01 11:07:00,X,0.0772
2023-05-01 12:48:07,X,0.4215
2023-05-03 03:04:00,X,0.4215
2023-05-03 19:31:03,X,0.5719
2023-05-04 03:22:06,X,0.34
2023-05-04 05:51:08,X,0.2023
