,ticker,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Cash and cash equivalents(figures in $M),XEL,111.0,166.0,129.0,248.0
Total cash(figures in $M),XEL,111.0,166.0,129.0,248.0
Net receivables(figures in $M),XEL,1373.0,1018.0,916.0,837.0
Inventory(figures in $M),XEL,803.0,631.0,535.0,544.0
Other current assets(figures in $M),XEL,1419.0,1106.0,640.0,488.0
Total current assets(figures in $M),XEL,5144.0,4239.0,3275.0,3113.0
"Gross property, plant and equipment(figures in $M)",XEL,70560.0,67171.0,64128.0,60596.0
Accumulated depreciation(figures in $M),XEL,-21103.0,-20423.0,-19688.0,-19441.0
"Net property, plant and equipment(figures in $M)",XEL,49457.0,46748.0,44440.0,41155.0
Equity and other investments(figures in $M),XEL,3234.0,3628.0,3096.0,2731.0
Other long-term assets(figures in $M),XEL,389.0,431.0,379.0,492.0
Total non-current assets(figures in $M),XEL,56044.0,53612.0,50682.0,47335.0
Total assets(figures in $M),XEL,61188.0,57851.0,53957.0,50448.0
Current debt(figures in $M),XEL,1964.0,1606.0,1005.0,1297.0
Accounts payable(figures in $M),XEL,1804.0,1409.0,1237.0,1294.0
Accrued liabilities(figures in $M),XEL,217.0,209.0,203.0,192.0
Other current liabilities(figures in $M),XEL,1039.0,799.0,771.0,1107.0
Total current liabilities(figures in $M),XEL,6078.0,5046.0,4239.0,4568.0
Long-term debt(figures in $M),XEL,22813.0,21779.0,19645.0,17407.0
Deferred tax liabilities(figures in $M),XEL,4804.0,4947.0,4791.0,4558.0
Deferred revenues(figures in $M),XEL,181.0,196.0,197.0,203.0
Other long-term liabilities(figures in $M),XEL,147.0,158.0,183.0,186.0
Total non-current liabilities(figures in $M),XEL,38435.0,37193.0,35143.0,32641.0
Total liabilities(figures in $M),XEL,44513.0,42239.0,39382.0,37209.0
Common stock(figures in $M),XEL,1374.0,1360.0,1344.0,1311.0
Retained earnings(figures in $M),XEL,7239.0,6572.0,5968.0,5413.0
Accumulated other comprehensive income(figures in $M),XEL,-93.0,-123.0,-141.0,-141.0
Total stockholders' equity(figures in $M),XEL,16675.0,15612.0,14575.0,13239.0
Total liabilities and stockholders' equity(figures in $M),XEL,61188.0,57851.0,53957.0,50448.0
