,ticker,sentiment
2023-04-04 18:38:00,XEL,-0.6908
2023-04-04 23:20:00,XEL,0.2732
2023-04-05 00:27:00,XEL,0.2732
2023-04-05 00:29:00,XEL,0.1531
2023-04-05 03:41:00,XEL,-0.1531
2023-04-05 13:45:08,XEL,0.2732
2023-04-05 16:06:00,XEL,0.2732
2023-04-07 06:53:27,XEL,0.2732
2023-04-13 10:32:00,XEL,0.2732
2023-04-15 21:43:54,XEL,0.7096
2023-04-16 06:45:01,XEL,-0.4019
2023-04-17 10:32:00,XEL,0.2732
2023-04-17 12:56:07,XEL,0.6369
2023-04-18 10:32:00,XEL,0.2732
2023-04-19 11:36:37,XEL,0.2808
2023-04-20 07:02:02,XEL,0.2732
2023-04-20 08:40:03,XEL,0.6486
2023-04-20 13:22:05,XEL,0.2732
2023-04-22 02:00:01,XEL,0.3353
2023-04-24 05:28:12,XEL,0.2732
2023-04-24 10:33:00,XEL,0.6597
2023-04-26 03:37:00,XEL,0.2732
2023-04-26 09:11:29,XEL,0.6249
2023-04-26 10:33:00,XEL,0.2732
2023-04-26 17:30:00,XEL,-0.1027
2023-04-26 22:11:00,XEL,0.2732
2023-04-26 22:11:00,XEL,0.2263
2023-04-26 22:18:00,XEL,0.2732
2023-04-26 23:27:00,XEL,0.7269
2023-04-27 03:10:00,XEL,0.2732
2023-04-27 04:25:11,XEL,0.6597
2023-04-27 07:17:02,XEL,0.4019
2023-04-27 09:42:08,XEL,0.2732
2023-04-27 09:49:04,XEL,0.2732
2023-04-27 10:34:00,XEL,0.2732
2023-04-27 23:37:44,XEL,0.2732
2023-04-28 02:00:09,XEL,0.4939
2023-04-28 10:32:00,XEL,0.2732
2023-05-01 10:33:00,XEL,0.6597
2023-05-02 01:30:00,XEL,0.8225
2023-05-02 03:20:19,XEL,0.5106
2023-05-02 03:45:00,XEL,0.5106
2023-05-02 10:33:00,XEL,0.2732
2023-05-03 01:46:00,XEL,0.4404
2023-05-03 10:34:00,XEL,0.2732
2023-05-04 10:34:00,XEL,0.2732
