,ticker,sentiment
2023-04-26 13:07:13,XOM,0.7003
2023-04-27 01:30:00,XOM,-0.0258
2023-04-27 03:28:07,XOM,-0.5574
2023-04-27 03:35:00,XOM,-0.5574
2023-04-27 05:18:00,XOM,-0.296
2023-04-27 06:06:54,XOM,0.0772
2023-04-27 06:13:03,XOM,-0.4019
2023-04-27 08:35:03,XOM,-0.2732
2023-04-27 09:18:00,XOM,0.2846
2023-04-27 10:00:00,XOM,-0.2023
2023-04-27 12:37:33,XOM,0.4019
2023-04-27 13:12:20,XOM,0.2732
2023-04-27 14:03:55,XOM,0.4767
2023-04-27 14:27:09,XOM,0.2732
2023-04-27 14:32:56,XOM,0.09
2023-04-27 16:11:22,XOM,0.4019
2023-04-27 18:58:00,XOM,0.5267
2023-04-27 19:12:00,XOM,-0.3632
2023-04-27 20:20:00,XOM,-0.296
2023-04-27 22:32:00,XOM,0.5106
2023-04-27 22:32:00,XOM,-0.2263
2023-04-27 23:28:00,XOM,0.1779
2023-04-28 00:00:00,XOM,-0.1531
2023-04-28 00:14:00,XOM,0.7351
2023-04-28 00:42:00,XOM,0.1779
2023-04-28 00:45:00,XOM,-0.0431
2023-04-28 01:20:00,XOM,0.296
2023-04-28 01:40:00,XOM,0.4576
2023-04-28 02:21:00,XOM,0.4404
2023-04-28 03:30:00,XOM,0.4404
2023-04-28 04:04:00,XOM,0.4939
2023-04-28 04:22:00,XOM,-0.296
2023-04-28 05:00:00,XOM,-0.128
2023-04-28 05:28:18,XOM,0.1779
2023-04-28 07:19:54,XOM,0.5719
2023-04-28 07:22:02,XOM,-0.1531
2023-04-28 07:39:02,XOM,0.3412
2023-04-28 07:52:59,XOM,0.4767
2023-04-28 08:06:13,XOM,-0.3632
2023-04-28 08:22:26,XOM,0.3818
2023-04-28 09:07:26,XOM,0.4404
2023-04-28 09:36:46,XOM,0.2263
2023-04-28 09:48:00,XOM,0.6908
2023-04-28 09:59:07,XOM,0.296
2023-04-28 11:22:48,XOM,0.128
2023-04-28 12:20:00,XOM,-0.1027
2023-04-28 13:00:57,XOM,0.128
2023-04-28 22:29:26,XOM,0.4019
2023-04-29 02:49:00,XOM,0.6369
2023-04-29 05:30:00,XOM,-0.1531
2023-04-29 05:58:04,XOM,0.1779
2023-04-29 09:00:00,XOM,-0.5994
2023-04-30 02:21:00,XOM,0.2732
2023-04-30 04:10:00,XOM,0.4404
2023-04-30 05:00:13,XOM,0.5719
2023-04-30 05:03:00,XOM,0.5228
2023-04-30 20:37:00,XOM,-0.296
2023-04-30 20:40:00,XOM,0.2924
2023-04-30 20:47:00,XOM,-0.8316
2023-04-30 23:17:56,XOM,0.8402
2023-05-01 00:25:01,XOM,0.4404
2023-05-01 00:53:00,XOM,0.5859
2023-05-01 00:55:00,XOM,0.1779
2023-05-01 01:21:00,XOM,0.296
2023-05-01 01:22:00,XOM,0.5859
2023-05-01 01:35:00,XOM,0.2732
2023-05-01 02:08:00,XOM,-0.2732
2023-05-01 04:28:00,XOM,-0.296
2023-05-01 05:27:00,XOM,0.2023
2023-05-01 05:43:00,XOM,0.7579
2023-05-01 07:05:02,XOM,0.4019
2023-05-01 08:04:58,XOM,0.2846
2023-05-01 11:03:35,XOM,0.296
2023-05-01 13:42:06,XOM,0.5994
2023-05-01 15:01:01,XOM,-0.1695
2023-05-01 16:00:00,XOM,0.4019
2023-05-01 17:44:36,XOM,0.2263
2023-05-01 19:55:00,XOM,-0.6597
2023-05-01 20:30:00,XOM,0.4019
2023-05-01 20:46:00,XOM,-0.1531
2023-05-01 22:50:00,XOM,0.5719
2023-05-01 22:55:00,XOM,0.7351
2023-05-01 23:05:00,XOM,-0.4215
2023-05-01 23:30:10,XOM,-0.5574
2023-05-01 23:44:00,XOM,0.3818
2023-05-02 00:12:00,XOM,0.2732
2023-05-02 01:05:00,XOM,0.4019
2023-05-02 04:08:00,XOM,0.2732
2023-05-02 04:26:27,XOM,0.3612
2023-05-02 07:49:00,XOM,-0.8158
2023-05-02 08:02:00,XOM,-0.0772
2023-05-02 09:15:00,XOM,0.4019
2023-05-02 09:41:03,XOM,-0.128
2023-05-02 10:08:01,XOM,-0.1779
2023-05-02 19:57:00,XOM,0.4588
2023-05-02 20:15:00,XOM,0.3182
2023-05-03 05:51:57,XOM,0.6808
2023-05-03 08:05:13,XOM,-0.2732
2023-05-03 09:16:00,XOM,-0.2023
2023-05-03 10:13:26,XOM,-0.0803
2023-05-03 13:02:54,XOM,0.5994
2023-05-03 15:36:31,XOM,0.6369
2023-05-03 18:36:00,XOM,0.2023
2023-05-03 20:53:00,XOM,0.4404
2023-05-03 22:31:00,XOM,0.6124
2023-05-04 00:43:59,XOM,0.4215
2023-05-04 03:13:00,XOM,0.7269
2023-05-04 07:09:30,XOM,0.4404
2023-05-04 12:41:20,XOM,-0.4215
2023-05-04 23:30:57,XOM,-0.4404
2023-05-05 00:00:00,XOM,0.3612
