,ticker,2023,2024,2025,2026
Revenue(In $M),XRAY,"3,945","4,094","4,263","5,024"
Dividend,XRAY,0.42,0.43,0.37,-
Dividend Yield (in %),XRAY,1.10 %,1.14 %,0.98 %,-
EPS,XRAY,1.92,2.27,2.58,3.66
P/E Ratio,XRAY,21.16,17.86,15.71,11.08
EBIT(In $M),XRAY,587,677,766,"1,059"
EBITDA(In $M),XRAY,725,827,904,-
Net Profit(In $M),XRAY,388,467,535,775
Net Profit Adjusted(In $M),XRAY,408,482,535,775
Pre-Tax Profit(In $M),XRAY,526,628,638,"1,013"
Net Profit (Adjusted)(In $M),XRAY,313,402,-,-
EPS (Non-GAAP) ex. SOE(In $),XRAY,1.92,2.27,2.58,3.66
EPS (GAAP)(In $),XRAY,0.85,1.39,2.27,2.91
Gross Income(In $M),XRAY,"2,185","2,279","2,272","2,953"
Cash Flow from Investing(In $M),XRAY,-155,-172,-182,-
Cash Flow from Operations(In $M),XRAY,503,601,605,-
Cash Flow from Financing(In $M),XRAY,-215,-111,-113,-
Cash Flow per Share(In $),XRAY,2.43,2.79,3.18,-
Free Cash Flow(In $M),XRAY,322,412,508,-
Free Cash Flow per Share(In $),XRAY,1.52,1.91,-,-
Book Value per Share(In $),XRAY,18.12,19.39,20.38,-
Net Debt(In $M),XRAY,"1,788","1,182",866,-
Research & Development Exp.(In $M),XRAY,170,172,182,191
Capital Expenditure(In $M),XRAY,168,173,174,-
"Selling, General & Admin. Exp.(In $M)",XRAY,"1,523","1,514","1,633","1,703"
Shareholder’s Equity(In $M),XRAY,"3,811","3,963","4,001",-
Total Assets(In $M),XRAY,"7,594","7,799","8,076",-
