,headline,final_score,datetime
0,JP Morgan Upgrades Zions Bancorporation N.A (ZION),64,2023-05-05 07:34:51
2,Zions Bancorporation National Association President Acquires 55% More Stock \,86,2023-05-05 03:02:38
5,Unusual Put Option Trade in Zions Bancorporation N.A (ZION)  Worth $492.87K,86,2023-05-04 17:14:58
9,Options Action: Traders betting big against Zions Bancorp amid regional bank rout,86,2023-05-04 10:57:56
10,"Zions Bancorp N.A. stock falls Thursday, underperforms market",60,2023-05-04 10:35:00
12,Zions Bancorp trading resumes,90,2023-05-04 02:52:00
13,"Zions Bancorp trading halted, volatility trading pause",60,2023-05-04 02:47:00
17,"Zions Bancorp Chairman, CFO each buy 20,000 shares",60,2023-05-04 00:24:00
24,"Zions Bancorp N.A. stock falls Wednesday, underperforms market",60,2023-05-03 10:35:00
34,Zions Bancorp put volume heavy and directionally bearish,60,2023-05-02 19:55:00
37,"Zions Bancorp N.A. stock falls Tuesday, underperforms market",60,2023-05-02 10:34:00
39,"Notable Tuesday Option Activity: ZION, CMA, NXPI",60,2023-05-02 05:32:00
40,Zions Bancorporation is Oversold,90,2023-05-02 04:10:00
41,"Bank Stocks Alert: Why Are PACW, WAL, BAC, ZION, Down Today?",60,2023-05-01 19:38:00
42,Zions Bancorp N.A. stock underperforms Monday when compared to competitors,86,2023-05-01 10:34:00
44,Zions Bancorp N.A. stock outperforms competitors on strong trading day,86,2023-04-28 10:34:00
45,"Zions Bancorp N.A. stock rises Thursday, still underperforms market",60,2023-04-27 10:36:00
46,ZION June 9th Options Begin Trading,60,2023-04-27 03:29:00
49,Unusual Put Option Trade in Zions Bancorporation N.A (ZION)  Worth $578.15K,86,2023-04-25 14:11:34
50,Zions Bancorporation to Webcast 2023 Annual Meeting of Shareholders,60,2023-04-25 12:29:00
51,Zions Bancorp N.A. stock underperforms Tuesday when compared to competitors,86,2023-04-25 10:34:00
52,Zions Bancorporation: The Positives That High-Anxiety Investors Are Ignoring,86,2023-04-25 02:56:49
56,Argus Research Maintains Zions Bancorporation N.A (ZION) Buy Recommendation,86,2023-04-24 11:03:09
57,"Zions Bancorp N.A. stock falls Monday, underperforms market",60,2023-04-24 10:35:00
60,Zions Bancorp price target lowered to $43 from $65 at Argus,60,2023-04-24 00:40:00
63,"Moody’s Downgrades 11 Regional Banks, Including Zions, U.S. Bank, Western Alliance",86,2023-04-21 21:38:00
65,"Zions Bancorp N.A. stock falls Friday, underperforms market",60,2023-04-21 10:34:00
71,RBC Capital Maintains Zions Bancorporation N.A (ZION) Sector Perform Recommendation,86,2023-04-20 10:51:04
72,DA Davidson Maintains Zions Bancorporation N.A (ZION) Buy Recommendation,86,2023-04-20 10:51:02
73,"ManpowerGroup, Zions fall; D.R. Horton, Lam rise",60,2023-04-20 09:17:00
74,"Zions' (ZION) Q1 Earnings Miss Estimates, Provisions Rise",60,2023-04-20 07:06:02
75,Q1 2023 Zions Bancorporation NA Earnings Call,62,2023-04-20 06:43:41
78,Piper Sandler Maintains Zions Bancorporation N.A (ZION) Overweight Recommendation,86,2023-04-20 04:10:59
79,Baird Maintains Zions Bancorporation N.A (ZION) Outperform Recommendation,86,2023-04-20 04:10:59
81,"KeyCorp`s, Comerica`s and Zions` stocks slide as lost deposits weigh on earnings",86,2023-04-20 00:35:00
83,D.A. Davidson Remains a Buy on Zions Bancorporation National Association (ZION),86,2023-04-20 00:15:00
84,Zions Bancorp price target lowered to $41 from $47 at DA Davidson,60,2023-04-20 00:02:00
85,"KeyCorp's, Comerica's and Zions' stocks slide as lost deposits weigh on earnings",86,2023-04-19 23:55:00
86,Zions Bancorp price target lowered to $40 from $47 at RBC Capital,60,2023-04-19 23:15:00
87,Wedbush Keeps Their Hold Rating on Zions Bancorporation National Association (ZION),86,2023-04-19 22:55:00
88,"Analysts Offer Insights on Financial Companies: Banner (BANR), Preferred Bank (PFBC) and Zions Bancorporation National Association (ZION)",86,2023-04-19 22:51:00
89,Zions Bancorp price target lowered to $41 from $42 at Piper Sandler,60,2023-04-19 22:42:00
90,Bank of America Securities Remains a Sell on Zions Bancorporation National Association (ZION),86,2023-04-19 22:26:00
91,Zions Bancorp price target lowered to $55 from $60 at Baird,60,2023-04-19 22:26:00
94,Barclays Reaffirms Their Sell Rating on Zions Bancorporation National Association (ZION),86,2023-04-19 19:15:00
